date,pwi_alpha,pwi_alpha_ma13w,alpha_gap,alpha_gap_ma13w,bot_share,bot_share_ma13w,longshot_gap,longshot_gap_ma13w,efficiency,efficiency_ma13w
2022-11-21,,,,,0.0,0.0,,,,
2022-11-28,,,,,0.0245901639344262,0.0122950819672131,,,,
2022-12-05,,,,,0.0,0.0081967213114754,,,,
2022-12-12,,,,,0.5087912087912088,0.1333453431814087,0.0197674418604651,0.0197674418604651,,
2022-12-19,,,,,0.5152380952380953,0.209723893592746,-0.0142857142857143,0.0027408637873753,,
2022-12-26,,,,,0.5612244897959183,0.2683073262932747,,,,
2023-01-02,,,,,0.5256410256410257,0.3050692833429534,0.1038461538461538,0.0364426271403015,,
2023-01-09,,,,,0.6323741007194245,0.3459823855150123,-0.05,0.0148319703552261,,
2023-01-16,,,,,0.6985887096774194,0.385160865977502,-0.0324561403508772,0.0053743482140054,,
2023-01-23,,,,,0.6634808853118712,0.4129928679109388,0.057142857142857,0.0140024330354807,,
2023-01-30,,,,,0.6920127795527157,0.4383583144238276,0.0351063829787234,0.0170172830273725,,
2023-02-06,,,,,0.7785415421398685,0.4667069167334978,0.0815789473684209,0.0250874910700036,,
2023-02-13,,,,,0.6615214994487321,0.4816926538654389,-0.0038461538461539,0.0218726416348749,,
2023-02-20,,,,,0.6671575846833578,0.533012468071851,0.0021739130434781,0.0199027687757353,,
2023-02-27,0.1000036648112377,0.1000036648112377,0.1192553070414922,0.1192553070414922,0.6890060240963856,0.5841213803920018,0.1554794520547945,0.0322279218011043,0.4998923798045472,0.4998923798045472
2023-03-06,0.1796758515302673,0.1398397581707525,0.8892118506446703,0.5042335788430813,0.6087951194712761,0.6309517741974845,0.0759259259259259,0.0358694221448394,0.3614223920372051,0.4306573859208761
2023-03-13,0.6042696033577578,0.2946497065664209,-0.1589896951805324,0.2831591541685433,0.4875551987153753,0.6293182349608819,-0.0469604863221885,0.0294978907242988,0.9692303127771206,0.6101816948729576
2023-03-20,0.4358696455007813,0.329954691300011,-0.0139489569116094,0.2088821263985051,0.6100833333333333,0.6366140225066694,-0.0422879177377893,0.0247244015244331,0.8776834293830257,0.6770571285004746
2023-03-27,0.6632645670933225,0.3966166664586733,0.1813935718452466,0.2033844154878534,0.6895599161745094,0.6464859783819458,0.0323170731707316,0.0283092313287751,0.7913236233412918,0.6999104274686381
2023-04-03,0.6575871495957059,0.440111746981512,,0.2033844154878534,,,0.085,0.0268595271867633,,0.6999104274686381
2023-04-10,1.1383721618161813,0.5398632348150362,,0.2033844154878534,,,,,,0.6999104274686381
2023-04-17,,,,0.2033844154878534,0.7648490749756572,0.6648865975615329,0.073076923076923,0.036326982808065,,0.6999104274686381
2023-04-24,,,,0.2033844154878534,0.7288671650373778,0.6723091409706061,0.1627659574468085,0.0513440672540408,,0.6999104274686381
2023-05-01,,,,0.2033844154878534,0.7147523135547088,0.6735524951150129,0.15,0.058486924396898,,0.6999104274686381
2023-05-08,0.5563266998100157,0.5419211679394087,0.1694932128736627,0.1977358817188217,0.5952022104998744,0.668300289360244,-0.0047738693467337,0.0554192126795551,0.646529884667743,0.6910136703351556
2023-05-15,0.7677431108407176,0.567012494928443,,0.1977358817188217,0.6761811023622047,0.6670824680378971,0.0,0.0491439090358305,,0.6910136703351556
2023-05-22,0.867917577639151,0.5971030031995138,0.0301166402730447,0.1737902757979963,0.6492491572172847,0.657136899966929,-0.0004132231404959,0.0494079806285734,0.7717243408185479,0.7025437661184972
2023-05-29,1.2955004324837838,0.6605936785889929,,0.1828794372574137,0.7194312796208531,0.6615914984417076,0.0396551724137931,0.0522911544262899,,0.7363189971708223
2023-06-05,0.3469324954454903,0.6344552466603677,0.2978819654170942,0.084324456386151,0.6515837104072398,0.6603935081127754,-0.0295918367346939,0.0380549014424831,0.9269462022059836,0.8305729655322853
2023-06-12,0.1000036648112377,0.5933435865181269,1.4018263618367155,0.3444604658890257,0.6467353951890035,0.6571419212737459,0.1880952380952379,0.0466833100708917,0.2385896002804154,0.7087995134495012
2023-06-19,0.5487779066637777,0.6278646820452453,0.0893757468109291,0.3616812498427821,0.5087165614667869,0.6494435706580161,0.0231158605174352,0.0520737982893243,0.914330480536908,0.7149073553084816
2023-06-26,0.720673288727144,0.6694798695219281,0.0828849936292337,0.3452631534734467,0.6255031101353824,0.6600549484595551,-0.0045454545454546,0.0549770646887347,0.6741693121759029,0.6953816367809168
2023-07-03,0.7504119020055797,0.6807215848025299,,0.3452631534734467,0.6122676579925651,0.6602229734333421,-0.0182539682539683,0.0510869845791424,,0.6953816367809168
2023-07-10,0.7484260935340148,0.704764388497394,0.0378271162638819,0.301343719586366,0.6044429708222812,0.6536755160985552,0.061913357400722,0.0493110889945825,0.5898014937003278,0.6802987591979756
2023-07-17,0.7827036815277054,0.7139520126846542,0.0928081814574894,0.2752767773202564,0.6245959051724138,0.642886810729075,-0.0214285714285715,0.0420414355710829,0.7899892218597988,0.6940100670307034
2023-07-24,0.5511176668140996,0.7057620524706845,-0.0656341003102899,0.2373977909168624,0.5863976847122915,0.6319276199348377,0.0211743772241992,0.0311497755539592,0.8999781814184405,0.7168954130737853
2023-07-31,0.5118741593044066,0.6575698984313172,0.0917409187856887,0.222832103703745,0.5967055339626134,0.6228470984277533,-0.0365951742627346,0.0167963006106719,0.7608705991561953,0.7212929316820264
2023-08-07,0.6291314635597277,0.6631702648736026,-0.0597528983176685,0.1999074925846119,0.6640566741237882,0.6281435956295929,0.0003597122302157,0.0171911915012065,0.7799260829675699,0.7346325515120091
2023-08-14,0.7327229737571536,0.6604764081748671,-0.3275059719049468,0.151960813994652,0.6322428907419286,0.624763733197264,0.0072289156626505,0.017747261936795,0.7699752480406216,0.7378455239237011
2023-08-21,0.8106135519371074,0.6560684061977867,-0.0897685078469161,0.1410621641655646,0.6200056673278549,0.6225142339750002,0.0283699059561128,0.0199613487903803,0.8619209024812771,0.7460452113475856
2023-08-28,0.6647912799104734,0.6075523175383014,0.4963303448213687,0.1706678458868816,0.5762812872467223,0.611502696100067,0.010200668896321,0.0176956177505747,0.7579403170362933,0.7470364701549778
2023-09-04,0.971429172787504,0.655590523487687,-0.190171373607175,0.1299967343015259,0.6439056939501779,0.6109120794495239,0.0576233183856502,0.024404475836755,0.9140835572751784,0.7459645830774106
2023-09-11,0.9657503423295348,0.7221864217583251,0.2192265387360222,0.0314467490431348,0.6708053691275168,0.6127636159063325,0.0592896174863387,0.014496351174532,0.5962879818327338,0.775772781540104
2023-09-18,0.7636014003047457,0.7387113058845536,0.0040240282532917,0.0243341058299983,0.6712085308056872,0.625262998163171,0.0174157303370785,0.0140578796221969,0.3165841370201327,0.7259605862470394
2023-09-25,0.8783955676516462,0.7508437888787459,0.1276972230460951,0.0280684582814034,0.7161739966354241,0.6322376817400973,0.1294871794871794,0.0243680822400918,0.6847932590592801,0.7268459151539876
2023-10-02,0.7629884058436598,0.7518112122509061,0.2447817701059377,0.0447387130371368,0.7314012278801011,0.641401802500677,0.0330039525691698,0.0283109992264871,0.9000948652816717,0.7401727574715017
2023-10-09,0.7091366613563483,0.7487889482372394,0.2041299787488212,0.0575312409205937,0.6858693890779453,0.647665373135728,0.0117977528089886,0.0244559527194306,0.9022292201869307,0.7642056595089326
2023-10-16,0.4848040229001653,0.7258735898812749,0.3613860388517662,0.0781910761047688,0.6722689075630253,0.6513325271657752,-0.0215639810426541,0.0244455365952704,0.7352774056823408,0.7599970582645128
2023-10-23,0.8141886940157872,0.746109822742943,-0.011367572539762,0.0823654243948094,0.6683673469387755,0.6576378857985816,-0.0137305699481866,0.0217605406589331,0.8788684513530821,0.7583732328748698
2023-10-30,0.7194406433018978,0.7620764753581347,0.5968874253311345,0.1212228479752283,0.6680438582552042,0.6631254492057039,0.0411680911680911,0.0277423303074581,0.9300762244035654,0.7713890502015904
2023-11-06,0.6199687919021357,0.7613716544613969,0.1112950199922367,0.1343803801529134,0.7108642478597635,0.6667260318007789,-0.0443820224719102,0.0243006584072946,0.8846954939574737,0.7794482356623524
2023-11-13,0.6826903164381068,0.7575229885137779,0.4296389639200517,0.1926222982932979,0.6783365570599613,0.6702716984406277,-0.0077464788732395,0.0231487049814569,0.8975410213217111,0.7892609874532055
2023-11-20,0.7047160579446202,0.7493770274374327,0.2720264674891895,0.2204526810114598,0.6823445993854881,0.6750670009065994,0.0156934306569342,0.0221735914969047,0.9839507762206592,0.7986479008177733
2023-11-27,0.6727154969232465,0.7499865825922615,0.3054621500022442,0.2057705121792195,0.714073166462454,0.6856663762308864,0.0269230769230768,0.0234599305758859,0.9076587793444316,0.810164705610707
2023-12-04,0.726096354283417,0.7311148273227163,0.0689860092398897,0.2257056954751476,0.7557444423687651,0.6942693568784701,-0.0017241379310345,0.0188947416284486,0.8106519808991268,0.8022084305048569
2023-12-11,0.6442089406961622,0.7063808733509185,0.366616569297967,0.2370433901337587,0.7676923076923077,0.7017221983065309,-0.0037037037037038,0.0140491015369069,0.9128796620487004,0.8265616366753158
2023-12-18,0.6208557729580063,0.6954004404780924,0.2823118262524274,0.2584501438259999,0.7414126753749395,0.7071225171195505,-0.0248743718592965,0.0107960167525703,0.8943448338819153,0.8710047672031452
2023-12-25,0.6370177764520323,0.676832918078122,0.1745691442459557,0.2620556762259892,0.6956343932113281,0.7055425476253891,-0.0154545454545455,-0.0003533467044853,0.9531158041934352,0.8916449629826957
2024-01-01,0.4603154445936346,0.6535503825973508,0.278083470006547,0.264617345449113,0.6205074992925196,0.6970122608109597,-0.0338802533103052,-0.0054982856182911,0.9317246115268556,0.8940780203861713
2024-01-08,0.696645681594613,0.6525895380002942,0.4689843253153439,0.2849907567234609,0.7863413285408171,0.704740871538873,0.0159340659340658,-0.0051801076855929,0.9350526989601116,0.8966029033687236
2024-01-15,0.8680764104557259,0.682072029350722,0.2198746397581501,0.2741052644854904,0.8125371184226156,0.7155307339126876,0.059090909090909,0.0010241146323734,0.7744265150301096,0.8996143733185522
2024-01-22,0.9025889672911008,0.6888720503718999,0.3501198923518018,0.3019119925540723,0.7970258922323303,0.7254275450891149,0.0218562874251496,0.0037615651995532,0.7715108639986613,0.891356097368212
2024-01-29,0.4237847846684707,0.6661292920154825,0.8869422308662559,0.3242239006721586,0.8016327017042069,0.7357036099698075,0.096953405017921,0.0080527431880016,0.2356107666319127,0.8379356775396235
2024-02-05,0.6836629782166463,0.6710288448089063,-0.1537346984392071,0.3038369992543551,0.7584084241408214,0.7393608542991197,0.0675213675213675,0.0166606962644076,0.5910954861054554,0.8153510615510066
2024-02-12,0.7617723131979381,0.6771120753288934,0.1722109586591295,0.2840348450035149,0.7883000195325216,0.7478195821816241,0.0591954022988504,0.0218100717391837,0.9704181940023648,0.8209569979110569
2024-02-19,1.0180866774311732,0.7012175075970899,0.0557703766951553,0.2673997610962816,0.8300055744184868,0.7591781187226242,0.0502570694087402,0.0244688131816304,0.6604227010674593,0.7960702228992722
2024-02-26,0.9284979894762924,0.720893083947324,0.2767174173676239,0.2651886278166954,0.823026342329259,0.7675591322508399,0.0313953488372092,0.0248128340981021,0.6450753850037338,0.7758715002576803
2024-03-04,0.8167151386641414,0.7278637596689183,0.0475946979022028,0.2635431423291811,0.7859062840537595,0.7698792739189163,0.0374524714828897,0.0278264194376347,0.8978504313213547,0.7825790733670822
2024-03-11,0.8580453566978706,0.7443127147459727,0.2569656412731891,0.2551084555580443,0.8374455267880031,0.7752449061570469,-0.002054794520548,0.0279532586055698,0.8957339362394581,0.781260171381756
2024-03-18,0.8414417116411077,0.7612808638754421,0.8601504659328447,0.2995575816873072,0.8340677408747122,0.7823722188877986,0.0525641025641025,0.0339100643304466,0.7579014427907278,0.7707645259132031
2024-03-25,0.914870223854912,0.782654129060279,0.5297447931110075,0.3268787854461573,0.8476896123804657,0.7940687742085015,0.0069948186528496,0.035636938492554,0.4952424916635656,0.7355435018724439
2024-04-01,0.8603252091356299,0.8134241109481247,0.548235510445686,0.3476597116337834,0.8464336158192091,0.811447706249016,0.0646788990825688,0.0432184117535443,0.0926666604423833,0.6710005825582537
2024-04-08,0.7904368249911241,0.8206388142863179,0.2501963699555222,0.330829868913797,0.8197797047105695,0.8140198890313045,0.1948132780082986,0.0569783511438699,0.6918549266687668,0.6522930616127656
2024-04-15,0.6347933411363661,0.8026939628002133,0.8774710318758736,0.3814142067690065,0.8529359588433564,0.8171274921405924,0.17265625,0.0657141465984153,0.5365600876589178,0.633995644122674
2024-04-22,1.5221476766268784,0.8503523250568116,0.2290857422960729,0.3721038875339504,0.8509757350109128,0.8212774800466373,0.2105633802816901,0.0802300768181492,0.7061198234069609,0.6289655640771585
2024-04-29,0.4699569496770149,0.8539040300574688,0.7246745583478573,0.3596217588786891,0.8069396480841967,0.8216857066912517,0.3113963039014374,0.0967256844245735,0.3762113635362413,0.6397809946082608
2024-05-06,0.6497816402936603,0.8512977732941622,0.5249031475001282,0.4118246701047917,0.6372486016898726,0.8123657203488711,0.1492149165848871,0.1030098035833058,0.608917626039599,0.6411519284493488
2024-05-13,0.6224632908953245,0.8405816946554997,0.2010372101435892,0.4140420740651348,0.5925931373269991,0.7973113447946003,0.0175875678342376,0.0998092009321817,0.8180959187386774,0.629434830352142
2024-05-20,0.784920702114376,0.8226458504003613,0.0193532437909714,0.4112407561494284,0.6281711769591175,0.7817856219131103,0.1215128529287821,0.105290415049108,0.9505403298620926,0.6517515710286522
2024-05-27,0.7126591545286988,0.8060428630967004,0.368533340547542,0.4183035194709606,0.6441124555524289,0.7680230152379693,0.013970588235294,0.1039500488489607,0.8694894106234158,0.6690141883840124
2024-06-03,0.645893698652426,0.7929027523265684,0.5050728378600721,0.4534941456215658,0.6389068564036222,0.7567153669571897,0.0057778889444721,0.1015135424998517,0.806152967433092,0.6619605373156845
2024-06-10,0.7178967000960867,0.7821220864341236,0.2809987554537881,0.4553428467123812,0.6921458783297336,0.7455384709219381,-0.0009754028837999,0.1015965726257554,0.6411917613923885,0.6423803700197561
2024-06-17,0.8902180558583518,0.7858741129123731,0.5267909887864618,0.4296998100088132,0.6894129194780592,0.7344111769683495,-0.0079970493795019,0.0969380224762474,0.9120159413378222,0.6542353314464557
2024-06-24,0.598471651131219,0.7615357611643966,0.2779366043177939,0.4103299493324122,0.6851186898452075,0.7219057213887142,-0.0094395280235989,0.0956738419626744,0.91217056305178,0.6863067215532414
