wallet,wallet_type,n_participations,pnl
0x5a616cb7a3c591ecc6547f12046f8fc7fb525781,bot,1230,-49039.70060700005
0xbaad64e305a75ba43f6330582bf7293762367873,bot,246,8574.850554000403
0x8453f6aa62cba5e5302f501849ffaf83dff2ecc3,bot,304,855399.5525699999
0x9f9085eb966bf423be02a4fecd278b1e3e0b544a,bot,540,11844.154931000001
0x0fb45b856bc58e0607f47513f10368683e5f954e,active_retail,681,250.6188949999996
0x52482d38a41eff48e1bdb46233373caa99cbaabb,bot,1340,142273.77867
0x46d3d62ab3dd01fb8dc3b16f0141462c82df62e0,sophisticated,399,42577.12540199998
0xcef2f76dad279c30deb61e3ae82597fb297cd972,bot,299,39466.99499300001
0x113162b1b4727e557a51cf43f685beb94f8f78e3,sophisticated,287,10919.653472000002
0x1aad4b04f00036783b78b46fcb0532daa6c15299,active_retail,798,13.092351999985542
0xb3ae8034418a5a6163a6b1657a1428300e9f3020,bot,1579,-49006.776021000274
0xcf6376d73de759ae6b7993d3643e48dfb9a4e9b8,active_retail,642,4431.379346000001
0xeb047e5330df5fb4f7fb786a94b26d9b040c1a5e,sophisticated,610,554.8528799999995
0x22914e904a4ed369104d2915ae8ac20f11c478b2,bot,458,32677.10760300003
0x44d4c6f385f1b0b738369e5a0b4ae4030e401970,bot,1752,458589.8161899994
0xbf6c2b0423a04b80b3667660812c8257c1783814,active_retail,840,28.845021000006454
0x2bef2b646996b03ec9d51bed3eb139f3dc4318b0,sophisticated,880,-1030.8111190000052
0x748f8bc6db49da87f131e073f68aaefc4edbc80b,bot,364,308735.80921700015
0xdefe23b9f2631280df4b18e43beef527150e5432,bot,7956,33060.955300999914
0x7fbf4d835cb5c395530f92ced0a311b8fbfc9770,active_retail,263,1677.263574
0x7b86ee2cb888acdc2234f1e7b0882a2edb3b73dd,sophisticated,805,82965.66843599999
0x663899a0ec1124e575e6f4e67f479687f7672114,active_retail,261,8215.663272
0xaf9577235ff2d1b0d3467964e3ffc996a8bc8d74,active_retail,496,-268.88007800000196
0xf6a45f940090c5f2e03f3c6077ae8aa034d66897,active_retail,367,2611.2328730000027
0xc2530aacea769ab8a7e3975b81ac3f4e98d8dd76,bot,1907,2690.8615479999944
0xc0a005750061e6b5c5699c395a09fd238116ac10,bot,487,229809.69308199998
0xb889590a2fab0c810584a660518c4c020325a430,bot,5955,713339.4241980005
0xb1d56c77f307531ae2a866d5261b04448b5b3527,active_retail,473,39000.570512999984
0xbfc99ac3a78c772c240233e17e27ea7e16582b7e,bot,1063,-36568.08275900004
0xc46f8ef39e04a5c69cee59bca4bb8b83059b2003,active_retail,469,-15566.264263999998
0x1776361dcbc5ee4c568bf81c2cd7cc55d6c801dd,bot,324,77458.41625099999
0x7f9e2d1df78614564a70becc7fa14aa9a6623a0e,bot,590,114744.76745299998
0xd5dca994eb0099f55b2dac334c7b9d76cb0411bb,bot,895,271169.5489700002
0x9a73373b3f0e4af0f91eab0f1919edccb898f447,bot,914,466957.769635
0x086981dab493f2705a43775de7871a357345e538,bot,1026,-208280.52890199993
0xba664f999a18dce0aac6af698af434924a24f59d,bot,1735,1474002.0762189995
0x3461d7bd409852838c0364835c766a6a2a28b65c,bot,258,-0.48393200000282377
0x3c3af48a37826826297e20d408b8ffe7bbf98679,bot,523,-322169.67509200005
0x8094b0a2c3ac441dd0a0782ae565a1fbcbe4be56,sophisticated,333,9560.564383
0x166a5ffcf823ff7c26588c59ae25ba015f3ba007,bot,504,89620.284242
0x88a132c7b2d1901d783ce3307adb36c78428618d,sophisticated,309,15322.965044000002
0x75ca58f74f718d583270bdbd665098551fbcd680,bot,6351,52491.508580999944
0xd277699bf92705c384cc54d9ea898c9f7679bd54,active_retail,386,513.8153569999923
0x6834d869178da4d1dd4b8c4485612c6495fb992d,active_retail,574,-9410.843120000005
0x54624426b2f4b0c3afd4c83306faaf7f7b47eed6,bot,1330,25759.969750999968
0xee47b700733d4adf319798443865d0f041132a9c,bot,948,-127145.25694300006
0x0aada11f3c5a78aa568f1053ceaf6f08d702db06,sophisticated,702,62380.221246000016
0x9175cafef50f45e618258750d74e84eae60969a8,bot,186,81927.36334299998
0x4f89894e6b0914bb8169347866e20bdf68fde938,active_retail,293,3097.336261999999
0xd67026079332e6f9d34f4585de2e6a0e1d8ab24e,bot,653,-30463.53392799998
0xe33ea4fa8fbf1cc0a4b158d5eb716412ecdfdc2a,bot,423,-8365.812409000588
0xbe9c381e9eb827c7a0f629405b7eb0a809780b14,bot,7647,-17438.533973000034
0xbb0f61c0454595bd64358b72e1f4a67436529034,active_retail,290,-13573.166252000005
0xc1a19170f49d1b8533e47f87d6ccf97a9988a995,sophisticated,565,-63423.269993000045
0x0d2d2791eb891a317cbdf84c0a2f7a6c22208a9f,bot,919,368.6379000000011
0xb19375cd4f151ddbf41132a3669464665075da62,sophisticated,221,17050.001817999997
0x194ead01a45bf8bc7f630f0b32359eff34fa36a4,active_retail,176,7045.999658999995
0xedfd393283b9f30bd86eecdbdeacf8abfa77aaab,bot,615,-1108.6703290000282
0x83a88e6308393901fa0577698b2e6ac27100fd32,bot,194,18803.526622999994
0xdd2f4e21f72d42263a567dbbf835db845e2c292b,active_retail,484,1489.8051560000197
0x12226b15662f2bb248b79b7b1f5fec25020d2aa7,bot,3881,873748.7235849998
0x58e540aa28209faa67ad826324d071f618a0ad64,active_retail,290,14.02567300001192
0xe8a0e50069263d7ba7953006cfa03b8fa86acb41,active_retail,316,26.82907600000163
0x399f02defd3d3fc127ad34d5c802a2be1d42cd4d,bot,333,128417.27383199993
0xe5d7f91f7886fc307f3b17b9af56686b7857d8a3,sophisticated,213,4858.77547
0xf6eb1259f85e9ff7ec5ec2a464df8e077ecbdcf1,sophisticated,298,38602.48595399999
0xea6e8a018d74039c4fd8634611c54aa998962091,sophisticated,228,8854.430071
0xca72a747f0e4007d75e3067ffd12fc12000b7637,bot,440,615460.8662340002
0x0ae7e0def6558b0c0d690b778e64a6b99534a574,active_retail,241,4.86610699999776
0x239fdca0897774608f49ec2e372da2bc079b77c6,bot,174,1560.4179779999922
0x1ba82a494ee8dc7753a5002115ec80fc94388cf7,bot,155,18205.736648
0xa59a71d5c2688b5b388e339ca235851621c97101,bot,190,76315.50579799998
0xe9514aa0b925353ea0d5e32978d636ec25ebde18,bot,782,70224.92138700002
0x64706b9e2df9f185911a17609693f062226e05b9,active_retail,208,13628.045547999996
