date,n_trades_total,bot_share,retail_share,sophisticated_share,casual_share,one_shot_share,bot_share_ma4w,bot_share_ma13w,bot_share_ma52w,bot_share_z52w
2022-11-21,41,0.0,0.9878048780487804,0.0,0.0121951219512195,0.0,0.0,0.0,0.0,
2022-11-28,61,0.0245901639344262,0.9672131147540984,0.0,0.0,0.0081967213114754,0.0122950819672131,0.0122950819672131,0.0122950819672131,
2022-12-05,52,0.0,0.9903846153846154,0.0096153846153846,0.0,0.0,0.0081967213114754,0.0081967213114754,0.0081967213114754,
2022-12-12,910,0.5087912087912088,0.2373626373626373,0.1708791208791208,0.0703296703296703,0.0126373626373626,0.13334534318140873,0.13334534318140873,0.13334534318140873,
2022-12-19,525,0.5152380952380953,0.2685714285714285,0.1476190476190476,0.0628571428571428,0.0057142857142857,0.26215486699093254,0.20972389359274604,0.20972389359274604,
2022-12-26,147,0.5612244897959183,0.2789115646258503,0.1054421768707483,0.0510204081632653,0.0034013605442176,0.39631344845630556,0.26830732629327475,0.26830732629327475,
2023-01-02,507,0.5256410256410257,0.3007889546351084,0.150887573964497,0.0216962524654832,0.0009861932938856,0.527723704866562,0.30506928334295347,0.30506928334295347,
2023-01-09,695,0.6323741007194245,0.2546762589928057,0.0856115107913669,0.0244604316546762,0.0028776978417266,0.558619427848616,0.3459823855150123,0.3459823855150123,
2023-01-16,992,0.6985887096774194,0.1683467741935483,0.1154233870967741,0.0161290322580645,0.0015120967741935,0.6044570814584469,0.385160865977502,0.385160865977502,
2023-01-23,994,0.6634808853118712,0.1443661971830986,0.1599597585513078,0.0266599597585513,0.005533199195171,0.6300211803374351,0.41299286791093887,0.41299286791093887,
2023-01-30,1565,0.6920127795527157,0.1702875399361022,0.1194888178913738,0.0169329073482428,0.0012779552715654,0.6716141188153577,0.43835831442382767,0.43835831442382767,
2023-02-06,1673,0.7785415421398685,0.1335923490735206,0.0699342498505678,0.015839808726838,0.002092050209205,0.7081559791704687,0.4667069167334978,0.4667069167334978,
2023-02-13,1814,0.6615214994487321,0.188257993384785,0.1240352811466372,0.0228776185226019,0.0033076074972436,0.6988891766132969,0.4816926538654389,0.4816926538654389,0.6389258465140341
2023-02-20,2037,0.6671575846833578,0.1980854197349042,0.1107020127638684,0.0201276386843397,0.0039273441335297,0.6998083514561685,0.533012468071851,0.4949401489238617,0.6264306695468914
2023-02-27,2656,0.6890060240963856,0.186558734939759,0.0901731927710843,0.0301204819277108,0.0041415662650602,0.699056662592086,0.5841213803920018,0.5078778739353632,0.6718021776936041
2023-03-06,5901,0.6087951194712761,0.2263175732926622,0.1114217929164548,0.0466870022030164,0.0067785121165904,0.6566200569249379,0.6309517741974845,0.5141852017813578,0.3615313832151732
2023-03-13,7473,0.4875551987153753,0.3102502341763682,0.1256523484544359,0.0702529104777198,0.0062893081761006,0.6131284817415987,0.6293182349608819,0.5126187310127707,-0.09888375133120338
2023-03-20,6000,0.6100833333333333,0.2393333333333333,0.1238333333333333,0.0255,0.00125,0.5988599189040926,0.6366140225066694,0.5180334311416908,0.3727206159725861
2023-03-27,5249,0.6895599161745094,0.1889883787388074,0.1071632691941322,0.0136216422175652,0.0006667936749857,0.5989983919236235,0.6464859783819458,0.5270611408802601,0.6681312969275411
2023-04-17,2054,0.7648490749756572,0.1346153846153846,0.0825219084712755,0.0170399221032132,0.0009737098344693,0.6380118807997188,0.6648865975615329,0.53895053758503,0.9310610649636382
2023-04-24,1739,0.7288671650373778,0.1431857389304197,0.1066705002875215,0.0184013801035077,0.002875215641173,0.6983398723802194,0.6723091409706061,0.5479941865113324,0.7533692705637053
2023-05-01,1837,0.7147523135547088,0.1652150244964616,0.0873707131192161,0.0269461077844311,0.0057158410451823,0.7245071174355633,0.6735524951150129,0.5555741013769403,0.6716905742656599
2023-05-08,3981,0.5952022104998744,0.2327304697312233,0.1301180607887465,0.0367997990454659,0.0051494599346897,0.7009176910169045,0.668300289360244,0.5572970626431548,0.1636097283911676
2023-05-15,2540,0.6761811023622047,0.1793307086614173,0.1200787401574803,0.0228346456692913,0.0015748031496062,0.6787506978635414,0.6670824680378971,0.5622505642981153,0.499950669884439
2023-05-22,3263,0.6492491572172847,0.1789764020839718,0.1376034324241495,0.0311063438553478,0.003064664419246,0.6588461959085181,0.657136899966929,0.565730508014882,0.37324602613171515
2023-05-29,2110,0.7194312796208531,0.1222748815165876,0.1367298578199052,0.0199052132701421,0.0016587677725118,0.6600159374250543,0.6615914984417076,0.5716420761535732,0.6678092037024047
