total_trades,total_usd_volume,participations_bot,participations_active_retail,participations_sophisticated,participations_casual,participations_one_shot,participation_volume_bot,participation_volume_active_retail,participation_volume_sophisticated,participation_volume_casual,participation_volume_one_shot,participations_unclassified,participation_volume_unclassified,active_wallets,flagged_active,total_participations,share_bot,share_active_retail,share_sophisticated,share_casual,share_one_shot,new_wallets,date,total_usd_volume_ma4w,total_usd_volume_ma13w,total_usd_volume_ma52w,total_usd_volume_z52w,new_wallets_ma4w,new_wallets_ma13w,new_wallets_ma52w,new_wallets_z52w,week
7266,2661092.1107239984,7124.0,4467.0,1822.0,1027.0,92.0,1320258.7160389984,2697896.7894299985,690530.3579210003,586980.2339540003,26518.124104,0.0,0.0,1285,13,14532,0.4902284613267272,0.3073905862923204,0.12537847508945774,0.07067162124965592,0.006330856041838701,714,2023-03-13,1008857.6082722496,433539.52806192305,337974.42968505877,3.642199840536962,393.25,165.69230769230768,144.05882352941177,2.827941703195857,2023-W11
5797,1662506.6791419976,7054.0,2787.0,1439.0,298.0,16.0,1619134.959718999,1041706.406682,538376.5106129999,123225.030098,2570.451172,0.0,0.0,668,8,11594,0.608418147317578,0.24038295670174228,0.1241159220286355,0.02570294980162153,0.0013800241504226323,205,2023-03-20,1356385.3572229987,558484.073680769,411559.5546548887,1.804897953752771,418.25,173.6153846153846,147.44444444444446,0.29357787834847754,2023-W12
4884,730276.4966980012,6534.0,1982.0,1103.0,141.0,8.0,928756.4418560006,246821.03975199995,241385.10018399995,43376.40271099999,214.008893,0.0,0.0,498,5,9768,0.668918918918919,0.2029074529074529,0.11291973791973792,0.014434889434889435,0.000819000819000819,138,2023-03-27,1477257.8315097492,613635.9648131537,428334.13055189466,0.4456619483478698,406.5,182.69230769230768,146.94736842105263,-0.046958596473937665,2023-W13
3274,388461.8759369997,4650.0,938.0,829.0,120.0,11.0,553346.9987160007,75355.36157600005,126933.972811,17348.101541,3939.317230000001,0.0,0.0,429,2,6548,0.7101405009163103,0.14324984728161272,0.12660354306658522,0.01832620647525962,0.001679902260232132,102,2023-04-03,1360584.2906252493,640129.6988654614,426340.5178211499,-0.05743501763007719,289.75,186.6153846153846,144.7,-0.2299065745049502,2023-W14
1708,303298.4985699998,2603.0,468.0,274.0,64.0,7.0,480969.4451679999,72602.62896599995,44894.17878,7765.531918999999,365.212307,0.0,0.0,289,1,3416,0.7620023419203747,0.13700234192037472,0.08021077283372366,0.01873536299765808,0.0020491803278688526,58,2023-04-24,771135.8875867496,659227.0562030767,420481.3740472856,-0.1821403529860775,125.75,187.92307692307693,140.57142857142858,-0.4536620705227436,2023-W17
1829,467079.3040640001,2608.0,565.0,377.0,90.0,18.0,754688.6499250003,77205.33755599997,92229.444919,9724.24894,310.926788,0.0,0.0,347,2,3658,0.7129579004920722,0.15445598687807546,0.10306178239475124,0.024603608529250958,0.004920721705850191,98,2023-05-01,472279.0438172502,686778.1972983845,422599.461775318,0.07083461714214252,99.0,191.53846153846155,138.63636363636363,-0.22847880841494955,2023-W18
3717,886286.3040570004,4642.0,1627.0,859.0,264.0,42.0,1197049.0012400006,371474.31274200015,162844.886229,39273.531755,1930.876148,0.0,0.0,582,4,7434,0.6244283023944041,0.21885929513048158,0.11555017487220877,0.03551251008878128,0.005649717514124294,267,2023-05-08,511281.495657,734331.1671445383,442759.75926582597,0.7141284551751308,131.25,205.69230769230768,144.2173913043478,0.6983575007361751,2023-W19
2517,723647.4418989996,3284.0,1015.0,588.0,135.0,12.0,1008622.024341,285960.700206,129097.413594,23107.144531,507.601126,0.0,0.0,433,4,5034,0.6523639253079062,0.20162892332141438,0.11680572109654351,0.026817640047675805,0.0023837902264600714,80,2023-05-15,595077.8871475,762022.494156846,454463.41270887485,0.4411968435572602,125.75,206.46153846153845,141.54166666666666,-0.35686544618777477,2023-W20
3763,1667505.8928589993,4949.0,1341.0,1001.0,217.0,18.0,2479733.6911229994,621744.4463260002,178731.72407400006,51842.057365,2959.8668300000004,0.0,0.0,529,4,7526,0.6575870316237045,0.1781823013553016,0.13300558065373372,0.028833377624235983,0.0023917087430241827,127,2023-05-22,936129.7357197498,855824.0766065381,502985.1119148799,1.8063864649014503,143.0,211.07692307692307,140.96,-0.08267951684065268,2023-W21
2039,380777.98405300005,2969.0,535.0,486.0,81.0,7.0,598904.322828,44860.86265399999,102271.35051099995,15488.574425,30.857688,0.0,0.0,352,2,4078,0.7280529671407553,0.13119176066699362,0.11917606669936243,0.019862677783227072,0.0017165277096615988,65,2023-05-29,914554.4057169998,865020.8392590767,498284.837766346,-0.1858996638946832,134.75,208.69230769230768,138.03846153846155,-0.43971859757730747,2023-W22
