market_id,total_participations,hhi,top_wallet_share,n_unique_wallets
1297729,1022.0,0.49804879730086815,0.49902152641878667,3
1305375,568.0,0.4930569331481849,0.5,3
618093,602.0,0.4835653028112272,0.49169435215946844,10
1300622,4936.0,0.4727367680705248,0.4977714748784441,13
1287901,2774.0,0.4716774727111208,0.4863013698630137,31
1308902,540.0,0.47107681755829905,0.4925925925925926,10
1246323,378.0,0.4693457629965566,0.5,14
1308633,1746.0,0.46917122954250523,0.48911798396334477,28
1300617,6510.0,0.46487219237330724,0.49923195084485406,12
1305391,1216.0,0.46467467754501374,0.48355263157894735,15
617081,376.0,0.46361475780896333,0.48404255319148937,13
694236,688.0,0.46306280421849655,0.48401162790697677,17
584251,298.0,0.4608125760100895,0.4798657718120805,10
1131203,2028.0,0.45438758758057807,0.47731755424063116,34
606553,364.0,0.4528589542325806,0.49175824175824173,8
1307050,638.0,0.4513713505173888,0.47962382445141066,19
1304494,862.0,0.4497230312067657,0.4802784222737819,16
941331,5996.0,0.44966257246881514,0.4743162108072048,34
1308962,922.0,0.4491367911876944,0.49023861171366595,9
1287899,1442.0,0.4487901108223476,0.47434119278779474,42
