date,pwi_alpha,mean_cal_error,longshot_fraction,n_trades_nonbot,pwi_alpha_ma4w,pwi_alpha_ma13w,pwi_alpha_ma52w,pwi_alpha_z52w
2023-02-27,0.1000036648112377,0.3401785714285714,0.14732142857142852,224.0,0.1000036648112377,0.1000036648112377,0.1000036648112377,
2023-03-06,0.1796758515302673,0.3074534161490681,0.10015527950310557,1288.0,0.1398397581707525,0.1398397581707525,0.1398397581707525,
2023-03-13,0.6042696033577578,0.08725652714463315,0.2635723166183174,2413.0,0.2946497065664209,0.2946497065664209,0.2946497065664209,
2023-03-20,0.4358696455007813,0.12778723404255318,0.3174468085106383,1175.0,0.32995469130001104,0.32995469130001104,0.32995469130001104,
2023-03-27,0.6632645670933225,0.10746031746031738,0.3386243386243386,945.0,0.4707699168705322,0.39661666645867333,0.39661666645867333,
2023-04-03,0.6575871495957059,0.1338187702265372,0.2783171521035599,309.0,0.5902477413868918,0.44011174698151206,0.44011174698151206,
2023-04-10,1.1383721618161813,0.1988479262672811,0.5483870967741935,217.0,0.7237733810014977,0.5398632348150362,0.5398632348150362,
2023-05-08,0.5563266998100157,0.1390243902439024,0.21840354767184034,902.0,0.7538876445788064,0.5419211679394087,0.5419211679394087,
2023-05-15,0.7677431108407176,0.1064575645756457,0.2841328413284132,271.0,0.780007280515655,0.567012494928443,0.567012494928443,
2023-05-22,0.867917577639151,0.08415637860082302,0.3196159122085048,729.0,0.8325898875265164,0.5971030031995138,0.5971030031995138,
2023-05-29,1.2955004324837838,0.1429577464788732,0.352112676056338,213.0,0.8718719551934171,0.6605936785889929,0.6605936785889929,
2023-06-05,0.3469324954454903,0.19814159292035396,0.25663716814159293,565.0,0.8195234041022857,0.6344552466603677,0.6344552466603677,
2023-06-12,0.10000366481123771,0.2792079207920792,0.3217821782178218,202.0,0.6525885425949157,0.5933435865181269,0.5933435865181269,-1.3305201625400644
2023-06-19,0.5487779066637777,0.11972713864306778,0.3064159292035398,2712.0,0.5728036248510724,0.6278646820452453,0.5901603236713876,-0.11609927344452531
2023-06-26,0.720673288727144,0.11309148264984221,0.3391167192429022,634.0,0.4290968389119125,0.6694798695219281,0.5988611880084381,0.3529524864277234
2023-07-03,0.7504119020055797,0.0650627615062761,0.4769874476987448,478.0,0.5299666905519349,0.6807215848025299,0.6083331076332594,0.4233998688101903
2023-07-10,0.7484260935340148,0.12771812080536907,0.3691275167785235,745.0,0.6920722977326292,0.704764388497394,0.6165738715097744,0.4036095706146946
2023-07-17,0.7827036815277054,0.07922705314009658,0.41545893719806765,828.0,0.7505537414486111,0.7139520126846542,0.6258033053996594,0.4913293736032589
2023-07-24,0.5511176668140996,0.13244592346089842,0.22545757071547418,1202.0,0.70816483597035,0.7057620524706845,0.621872482316209,-0.22764370222484964
2023-07-31,0.5118741593044066,0.123037542662116,0.30887372013651876,1172.0,0.6485304002950567,0.6575698984313172,0.6163725661656189,-0.3442858432040267
2023-08-07,0.6291314635597277,0.10439093484419257,0.3881019830028328,1059.0,0.618706742801485,0.6631702648736026,0.6169801327081954,0.04107261046812552
2023-08-14,0.7327229737571536,0.07950495049504946,0.32772277227722774,1010.0,0.606211565858847,0.6604764081748671,0.6222411709376936,0.381270670406368
2023-08-21,0.8106135519371074,0.08137724550898198,0.37964071856287424,835.0,0.671085537139599,0.6560684061977867,0.6304312744594072,0.6304002625480287
2023-08-28,0.6647912799104734,0.09075630252100839,0.41596638655462187,714.0,0.7093148172911156,0.6075523175383014,0.6318629413532016,0.11775790046848458
2023-09-04,0.9714291727875041,0.08760330578512389,0.44628099173553715,484.0,0.7948892445980597,0.655590523487687,0.6454455906105737,1.1558122677578009
2023-09-11,0.9657503423295347,0.13317580340264648,0.34593572778827975,529.0,0.853146086741155,0.7221864217583251,0.657765004138226,1.0867899030800494
2023-09-18,0.7636014003047457,0.09671532846715321,0.3175182481751825,548.0,0.8413930488330646,0.7387113058845536,0.661684870662912,0.36577444810869464
2023-09-25,0.8783955676516462,0.1372919818456883,0.3464447806354008,661.0,0.8947941207683577,0.7508437888787459,0.6694245384125096,0.7558439189427663
2023-10-02,0.7629884058436598,0.06691275167785228,0.33959731543624155,745.0,0.8426839290323968,0.7518112122509061,0.6726508786687562,0.332065584836461
2023-10-09,0.7091366613563483,0.07728205128205122,0.3641025641025641,975.0,0.7785305087891001,0.7487889482372394,0.6738670714250092,0.13189892647077722
2023-10-16,0.4848040229001653,0.13752941176470582,0.3294117647058823,1275.0,0.708831164437955,0.7258735898812749,0.6677682634080788,-0.6902017553510472
2023-10-23,0.8141886940157872,0.07307692307692305,0.34570135746606334,1105.0,0.6927794460289902,0.746109822742943,0.6723439018645697,0.541270857905335
2023-10-30,0.7194406433018978,0.09324801412180045,0.3053839364518976,1133.0,0.6818925053935497,0.7620764753581347,0.673771075847519,0.17697137015861475
2023-11-06,0.6199687919021357,0.10875613747954167,0.2896890343698854,611.0,0.6596005380299965,0.7613716544613969,0.6721886557314783,-0.2053561615243729
2023-11-13,0.6826903164381068,0.08918575063613225,0.29770992366412213,1179.0,0.709072111414482,0.7575229885137779,0.6724887031802392,0.04072043841488879
2023-11-20,0.7047160579446202,0.08443627450980386,0.32230392156862736,816.0,0.6817039523966903,0.7493770274374327,0.6733839074792498,0.12686027023522506
2023-11-27,0.6727154969232465,0.08660589060308549,0.3520336605890603,713.0,0.6700226658020274,0.7499865825922615,0.6733658423290875,-0.002670525254654019
2023-12-04,0.726096354283417,0.06502976190476184,0.42857142857142855,672.0,0.6965545563973476,0.7311148273227163,0.6747534873805172,0.2136029051955853
2023-12-11,0.6442089406961622,0.11212832550860712,0.3317683881064163,639.0,0.6869342124618616,0.7063808733509185,0.6739702938757902,-0.12545221359151515
2023-12-18,0.6208557729580063,0.0911042944785276,0.3282208588957055,326.0,0.6659691412152081,0.6954004404780924,0.6726424308528456,-0.22100644331403083
2023-12-25,0.6370177764520323,0.09447096260938734,0.4152744630071599,1257.0,0.6570447110974046,0.676832918078122,0.6717735368430697,-0.15017098072455623
2024-01-01,0.46031544459363466,0.10499999999999995,0.38452380952380955,4200.0,0.590599483674959,0.6535503825973508,0.6667388203609402,-0.8939241812194375
2024-01-08,0.696645681594613,0.08215488215488215,0.45454545454545453,1188.0,0.6037086688995716,0.6525895380002942,0.6674343287617234,0.12800868686531702
2024-01-15,0.8680764104557259,0.07921686746987941,0.4118975903614457,1328.0,0.6655138282740016,0.682072029350722,0.6719943760729506,0.8617152944355423
2024-01-22,0.9025889672911008,0.09122497055359241,0.38280329799764423,849.0,0.7319066259837687,0.6888720503718999,0.6771187003222429,0.9908202861157349
2024-01-29,0.42378478466847075,0.17517814726840855,0.32066508313539194,842.0,0.7227739610024778,0.6661292920154825,0.6716114412862914,-1.0865032151426899
2024-02-05,0.6836629782166463,0.15944835680751177,0.2687793427230047,1704.0,0.7195282851579861,0.6710288448089063,0.6718678569656605,0.05228111999985944
2024-02-12,0.7617723131979381,0.08977900552486187,0.3176795580110497,1086.0,0.6929522608435391,0.6771120753288934,0.6737408664704997,0.3937472699938863
2024-02-19,1.0180866774311732,0.06683168316831685,0.3465346534653465,1111.0,0.7218266883785572,0.7012175075970899,0.6807683320003094,1.488374222220036
2024-02-26,0.9284979894762924,0.08098159509202452,0.32055214723926373,1304.0,0.8480049895805126,0.720893083947324,0.685722925149829,1.0693506517526954
2024-03-04,0.8167151386641414,0.1105973025048169,0.2504816955684008,1038.0,0.8812680296923863,0.7278637596689183,0.6882913999246194,0.569517078184334
2024-03-11,0.8580453566978706,0.07785888077858878,0.35036496350364954,822.0,0.9053362905673695,0.7443127147459727,0.6915558990933358,0.7415624237358096
2024-03-18,0.8414417116411077,0.08814432989690718,0.3943298969072165,776.0,0.8611750491198531,0.7612808638754421,0.7058143230708332,0.648220889494564
2024-03-25,0.9148702238549119,0.15280235988200588,0.28171091445427726,678.0,0.8577681077145081,0.782654129060279,0.7199526763847689,0.9869712587994116
2024-04-01,0.8603252091356299,0.14765494137353433,0.3517587939698492,597.0,0.8686706253323802,0.8134241109481247,0.724876822649728,0.6849764006362231
2024-04-08,0.7904368249911241,0.12521663778162906,0.4090121317157712,577.0,0.8517684924056935,0.8206388142863179,0.7316954222553113,0.3033356710258914
2024-04-15,0.6347933411363661,0.12769110764430577,0.3915756630265211,641.0,0.8001063997795081,0.8026939628002133,0.7311478986792161,-0.4969576768940775
2024-04-22,1.5221476766268784,0.13618127786032685,0.399702823179792,673.0,0.9519257629724998,0.8503523250568116,0.7477740626605847,3.4814936110743404
2024-04-29,0.4699569496770149,0.2358883248730964,0.48324873096446697,985.0,0.854333698107846,0.8539040300574688,0.7349199239656008,-1.2115754931541165
2024-05-06,0.6497816402936603,0.1372595483691106,0.27850571508224137,3587.0,0.8191699019334799,0.8512977732941622,0.7367171343595171,-0.3995608217317723
2024-05-13,0.6224632908953245,0.1053876739562624,0.3992047713717693,5030.0,0.8160873893732197,0.8405816946554997,0.7339232916682595,-0.5110417159085793
2024-05-20,0.784920702114376,0.08317487266553475,0.40288624787775884,5890.0,0.6317806457450941,0.8226458504003613,0.7323271979081677,0.2419134366759321
2024-05-27,0.7126591545286988,0.08244946180099756,0.35691782620110263,7618.0,0.692456196958015,0.8060428630967004,0.7211187117936468,-0.041816485814924774
2024-06-03,0.645893698652426,0.08714115544967238,0.4712328767123288,8395.0,0.6914842115477065,0.7929027523265684,0.7268679657014725,-0.4139865446695951
2024-06-10,0.7178967000960867,0.0896448062158912,0.5400055499028767,10811.0,0.7153425638478971,0.7821220864341236,0.7387505240723349,-0.11958427171262198
2024-06-17,0.8902180558583518,0.06271988607807001,0.4825347629418663,23876.0,0.7416669022838909,0.7858741129123731,0.7453166807876154,0.8350765120346962
2024-06-24,0.598471651131219,0.1039848640568064,0.3800336354293189,21406.0,0.713120026434521,0.7615357611643966,0.7429666492953858,-0.8271860334823432
2024-07-01,0.6802497959718735,0.07651855275320213,0.44467186055724284,30292.0,0.7217090507643829,0.7476838063056461,0.7416173780255069,-0.3508828374828529
2024-07-08,0.5319299525265424,0.10963432247899156,0.46804424894957986,60928.0,0.6752173638719967,0.7277986622699092,0.7374539906984402,-1.159253483932301
2024-07-15,0.7004507380149207,0.06902767325959475,0.49837424924391943,70429.0,0.6277755344111391,0.7328492312605671,0.7358722033231943,-0.1998443355925729
2024-07-22,0.6424854184022455,0.10461255922068238,0.4369998403037777,56357.0,0.6387789762288956,0.6651829037048262,0.7376292754691203,-0.5411280282163261
2024-07-29,0.5367158769649362,0.14087224046896435,0.3256558433459444,48106.0,0.6028954964771613,0.670318205803897,0.7381070008087458,-1.1492803489456378
2024-08-05,1.0746220707642087,0.05584551628870722,0.2652699435938759,43435.0,0.7385685260365779,0.7029982389170162,0.7466741278703704,1.815802898099329
2024-08-12,0.6933189279084447,0.09348653266862784,0.20753254531682136,56767.0,0.7367855735099589,0.7084486725334099,0.7459163577578951,-0.29099551715821564
2024-08-19,0.5190682863426429,0.128718093919755,0.3126953165964051,47679.0,0.7059312904950582,0.6879984867048152,0.7403097180349248,-1.2075920440759038
2024-08-26,0.6289106516021669,0.10215602717184928,0.28751951394455927,47402.0,0.7289799841543658,0.681556294172005,0.7396197059520728,-0.6031022727399955
2024-09-02,0.6444762066881584,0.10781637182443055,0.31360296494214485,46409.0,0.6214435181353534,0.6814472563285998,0.7333321489117007,-0.49077441534975935
2024-09-09,0.3031275589981761,0.2331957192953043,0.2208390963577685,71577.0,0.5238956759077862,0.6495419377826066,0.7205894030784052,-2.2255782721571804
2024-09-16,0.5922500158780393,0.10762922900332676,0.23728137584871886,102802.0,0.5421911082916353,0.6266213193225826,0.7172941841471225,-0.6640413756285739
2024-09-23,0.38614161334874697,0.17556072351421184,0.2305834353325173,183825.0,0.4814988487282803,0.6102882394931618,0.7078277619489899,-1.672145299184839
2024-09-30,0.22548594507158692,0.2986090597319531,0.13117044330829597,237645.0,0.37675128332413743,0.5753064048085242,0.6974911761649115,-2.3196942201505286
