week,wallet_type,alpha,alpha_se,r2,n_trades,n_bins_used,mean_cal_error,longshot_fraction,date
2022-W50,bot,0.7476506243546938,0.2542149384672157,0.7723563965947385,649,10,0.1104006163328197,0.1217257318952234,2022-12-12
2022-W51,bot,0.1890079909819796,0.0379719173019671,0.5673745868226081,354,10,0.2559322033898304,0.192090395480226,2022-12-19
2023-W01,bot,0.1000036648112377,0.0253340355762296,0.4280993221731729,286,7,0.2185314685314685,0.0594405594405594,2023-01-02
2023-W02,bot,0.7355997579429585,0.1192441149461072,0.514302724804661,490,10,0.15,0.2530612244897959,2023-01-09
2023-W03,bot,0.5139891375065732,0.0743140404715255,0.6784385598006932,812,10,0.1147783251231527,0.2536945812807882,2023-01-16
2023-W04,bot,0.5771544154866027,0.0669034002661416,0.628093651523646,788,10,0.1611675126903553,0.1700507614213198,2023-01-23
2023-W05,bot,0.7717085471746286,0.0625323507851291,0.8822145365602683,1164,10,0.0903780068728522,0.211340206185567,2023-01-30
2023-W06,bot,0.8626888528778411,0.0661395125208136,0.9309746052852622,1298,10,0.0477657935285053,0.2627118644067797,2023-02-06
2023-W07,bot,0.6366734986005183,0.1061212484307748,0.839256956259044,1359,10,0.1038631346578366,0.2303164091243561,2023-02-13
2023-W08,bot,0.4701855829044997,0.0367003098366526,0.7183806550735672,1504,10,0.1471409574468085,0.2240691489361702,2023-02-20
2023-W09,active_retail,0.1000036648112377,0.0076294931993927,0.4998923798045472,224,7,0.3401785714285714,0.1473214285714285,2023-02-27
2023-W09,bot,0.2192589718527299,0.0661471690705559,0.2461215822400639,2308,10,0.2603552859618718,0.2378682842287695,2023-02-27
2023-W10,active_retail,0.1000036648112377,0.0002053468180387,0.3614223920372051,904,10,0.3647123893805308,0.0630530973451327,2023-03-06
2023-W10,bot,0.989215515455908,0.0508670674858474,0.7257116584197749,4531,10,0.12303023615096,0.1578018097550209,2023-03-06
2023-W10,sophisticated,0.3672374577646495,0.0906647093705769,0.4582341075598694,384,10,0.1726562499999999,0.1875,2023-03-06
2023-W11,active_retail,0.6423011545643943,0.0442587209640755,0.9692303127771206,1847,10,0.0749052517596101,0.2809962100703844,2023-03-13
2023-W11,bot,0.4833114593838619,0.0146628098814922,0.975190275001785,4820,10,0.1121784232365145,0.1796680497925311,2023-03-13
2023-W11,sophisticated,0.4801631102859247,0.0618566372861789,0.8391567455027749,566,10,0.1275618374558303,0.2067137809187279,2023-03-13
2023-W12,active_retail,0.5112535769295921,0.0596112205519358,0.8776834293830257,750,10,0.1148,0.376,2023-03-20
2023-W12,bot,0.4973046200179826,0.0132517246278212,0.9619771759343694,4781,10,0.1151119012758837,0.2430453879941435,2023-03-20
2023-W12,sophisticated,0.3028391782734684,0.1677848632936912,0.8277073212191337,425,9,0.1507058823529411,0.2141176470588235,2023-03-20
2023-W13,active_retail,0.6308528909740899,0.0529860179768588,0.7913236233412918,491,10,0.1074338085539714,0.395112016293279,2023-03-27
2023-W13,bot,0.8122464628193365,0.0239828383461339,0.9170944932080972,4205,10,0.0846967895362663,0.2879904875148633,2023-03-27
2023-W13,sophisticated,0.6983177234249156,0.0828113553324259,0.8064111266998505,454,10,0.1074889867841409,0.2775330396475771,2023-03-27
2023-W14,bot,0.6150456600859816,0.0247620425273886,0.9602192357368862,2084,10,0.0937619961612283,0.2317658349328215,2023-04-03
2023-W14,sophisticated,0.6575871495957059,0.1019619340559363,0.6449679764096314,309,9,0.1338187702265372,0.2783171521035599,2023-04-03
2023-W15,bot,1.0636473059216796,0.1332011487255077,0.7040285531381046,1374,10,0.1109898107714702,0.185589519650655,2023-04-10
2023-W15,sophisticated,1.1383721618161813,0.4107131550675803,0.2473959178667713,217,5,0.1988479262672811,0.5483870967741935,2023-04-10
2023-W16,bot,1.1042666731591249,0.0781543111878428,0.8826809805821781,1822,10,0.0764544456641054,0.2310647639956092,2023-04-17
2023-W17,bot,0.7909716309472195,0.0564998499987016,0.600879183057101,1486,10,0.1511440107671601,0.2604306864064603,2023-04-24
2023-W18,bot,0.4634920115424038,0.0271746130847372,0.6201219035950338,1522,10,0.1961892247043364,0.19053876478318,2023-05-01
2023-W19,active_retail,0.4516385311606273,0.061382023594827,0.646529884667743,544,10,0.1919117647058823,0.1580882352941176,2023-05-08
2023-W19,bot,0.6211317440342901,0.0471224116487203,0.7683590342463473,3034,10,0.1457481872116018,0.1460118655240606,2023-05-08
2023-W19,sophisticated,0.7154059281487511,0.0823978914910189,0.8591890044817843,358,9,0.0586592178770949,0.3100558659217877,2023-05-08
2023-W20,bot,0.6445923921135639,0.025816314551573,0.9583015948046631,2081,10,0.0773426237385871,0.2801537722248919,2023-05-15
2023-W20,sophisticated,0.7677431108407176,0.1386859502366896,0.7217502396873006,271,8,0.1064575645756457,0.2841328413284132,2023-05-15
2023-W21,active_retail,0.7023070248555541,0.1286529462919906,0.7717243408185479,349,9,0.0866762177650429,0.3753581661891118,2023-05-22
2023-W21,bot,0.7324236651285988,0.043454504649222,0.8828651141702353,2508,10,0.0850478468899521,0.2563795853269537,2023-05-22
2023-W21,sophisticated,1.0200177958535597,0.2096665254663703,0.8418546014877228,380,10,0.0818421052631579,0.2684210526315789,2023-05-22
2023-W22,bot,0.83523915657416,0.041229476385984,0.8939851334798868,1769,10,0.0870265686828716,0.2374222724703222,2023-05-29
2023-W22,sophisticated,1.2955004324837838,0.2982552879090189,0.657205389186686,213,10,0.1429577464788732,0.352112676056338,2023-05-29
2023-W23,active_retail,0.2348365150409151,0.0664550492890351,0.9269462022059836,352,7,0.2556818181818182,0.1448863636363636,2023-06-05
2023-W23,bot,0.5327184804580093,0.0233795500124489,0.955735416292912,1409,10,0.1077714691270404,0.3555713271823988,2023-06-05
2023-W23,sophisticated,0.5321803128276992,0.1367202229376739,0.8765279202334151,213,8,0.1030516431924882,0.4413145539906103,2023-06-05
2023-W24,active_retail,0.1000036648112377,0.196830876647234,0.2385896002804154,202,6,0.2792079207920792,0.3217821782178218,2023-06-12
2023-W24,bot,1.5018300266479532,0.2499384028689441,0.4793429987968751,1098,10,0.1676684881602914,0.2759562841530054,2023-06-12
2023-W25,active_retail,0.5437611957620921,0.0250008936559307,0.914330480536908,1495,10,0.1210367892976588,0.291638795986622,2023-06-19
2023-W25,bot,0.6331369425730213,0.0134294437126332,0.9281682740754827,6967,10,0.0992320941581742,0.2574996411654944,2023-06-19
2023-W25,sophisticated,0.5549405876810496,0.0326637597710333,0.8786794976263268,1217,10,0.1181183237469186,0.3245686113393591,2023-06-19
2023-W26,active_retail,0.5553825184574459,0.0756495374818028,0.6741693121759029,383,10,0.1301566579634464,0.3342036553524804,2023-06-26
2023-W26,bot,0.6382675120866796,0.0274841285330945,0.7225175929478935,1964,10,0.0993380855397148,0.3518329938900204,2023-06-26
2023-W26,sophisticated,0.9728898824056076,0.1798066310779988,0.8850978242094867,251,7,0.0870517928286852,0.3466135458167331,2023-06-26
2023-W27,bot,0.6813607097452051,0.0294397069614053,0.7543222022766994,1945,10,0.0778149100257069,0.3506426735218509,2023-07-03
2023-W27,sophisticated,0.7504119020055797,0.0567651411279137,0.815391605629912,478,9,0.0650627615062761,0.4769874476987448,2023-07-03
2023-W28,active_retail,0.6375802554192089,0.1089054544819188,0.5898014937003278,257,10,0.1083657587548638,0.4085603112840467,2023-07-10
2023-W28,bot,0.6754073716830908,0.0388945602339059,0.6170076195304259,2240,10,0.1058928571428571,0.2477678571428571,2023-07-10
2023-W28,sophisticated,0.8068018730330005,0.1091021238537358,0.4961995197419812,488,10,0.1379098360655737,0.3483606557377049,2023-07-10
2023-W29,active_retail,0.6552745569827095,0.1396149919318437,0.7899892218597988,416,10,0.0927884615384615,0.4639423076923077,2023-07-17
2023-W29,bot,0.748082738440199,0.0320759558991726,0.9646434371509434,2828,10,0.058026874115983,0.1994342291371994,2023-07-17
2023-W29,sophisticated,0.9113699820391576,0.0952363755336787,0.7466208936789038,412,10,0.0655339805825242,0.366504854368932,2023-07-17
2023-W30,active_retail,0.5757796923487457,0.0430612592454224,0.8999781814184405,521,10,0.115067178502879,0.2994241842610364,2023-07-24
2023-W30,bot,0.5101455920384558,0.0139729829566273,0.8955381492671648,4556,10,0.145478489903424,0.1584723441615452,2023-07-24
2023-W30,sophisticated,0.532249949775112,0.0344942897052571,0.8237123679603361,681,10,0.145741556534508,0.1688693098384728,2023-07-24
2023-W31,active_retail,0.4846651363248449,0.0495337488343704,0.7608705991561953,614,9,0.1397394136807817,0.4006514657980456,2023-07-31
2023-W31,bot,0.5764060551105337,0.0167520336388393,0.9028976671993876,4034,10,0.1110808130887456,0.252602875557759,2023-07-31
2023-W31,sophisticated,0.5418138369199098,0.0579187234372071,0.9246698465592076,558,10,0.1046594982078853,0.2078853046594982,2023-07-31
2023-W32,active_retail,0.6586290781715259,0.0530228882636836,0.7799260829675699,578,10,0.0887543252595155,0.3823529411764705,2023-08-07
2023-W32,bot,0.5988761798538574,0.0176010553428428,0.8644298201266839,3995,10,0.1000625782227784,0.2403003754693366,2023-08-07
2023-W32,sophisticated,0.593685265543887,0.1219724662966603,0.363229426677542,481,10,0.1231808731808731,0.395010395010395,2023-08-07
2023-W33,active_retail,0.8828401710425668,0.1214617417589049,0.7699752480406216,316,9,0.065506329113924,0.4113924050632911,2023-08-14
2023-W33,bot,0.55533419913762,0.0187203517712409,0.954746556443725,3585,10,0.0953556485355648,0.304323570432357,2023-08-14
2023-W33,sophisticated,0.6643698983361297,0.0578756301575757,0.9202012501269838,694,10,0.085878962536023,0.2896253602305475,2023-08-14
2023-W34,active_retail,0.7506209568681004,0.0884707382905989,0.8619209024812771,305,9,0.070655737704918,0.4262295081967213,2023-08-21
2023-W34,bot,0.6608524490211842,0.023499136804678,0.9108543561632632,2651,10,0.0711995473406261,0.3723123349679366,2023-08-21
2023-W34,sophisticated,0.8451375924956869,0.1119700672359232,0.801685701039339,530,10,0.0875471698113207,0.3528301886792452,2023-08-21
2023-W35,active_retail,0.6252272639882488,0.0931402968004225,0.7579403170362933,316,9,0.1022151898734177,0.4620253164556962,2023-08-28
2023-W35,bot,1.1215576088096175,0.0701744615368355,0.9317954753674098,1786,10,0.0505039193729003,0.3085106382978723,2023-08-28
2023-W35,sophisticated,0.6962039156678175,0.1207468022483665,0.8404608875023671,398,10,0.0816582914572864,0.3793969849246231,2023-08-28
2023-W36,active_retail,1.1256188400356126,0.1826222737931922,0.9140835572751784,218,6,0.0678899082568807,0.5642201834862385,2023-09-04
2023-W36,bot,0.9354474664284376,0.0448642918706337,0.8938371792682142,1744,10,0.0689793577981651,0.2901376146788991,2023-09-04
2023-W36,sophisticated,0.8450632048924378,0.127860986981932,0.607303445826129,266,9,0.1037593984962405,0.3496240601503759,2023-09-04
2023-W37,active_retail,0.8057348957016005,0.2087156112313289,0.5962879818327338,215,8,0.1058139534883721,0.4651162790697674,2023-09-11
2023-W37,bot,1.0249614344376228,0.0584203715362984,0.6925412955045589,2400,10,0.1097499999999999,0.3133333333333333,2023-09-11
2023-W37,sophisticated,1.0753150589696807,0.3705975090305847,0.4739198026732536,314,10,0.1519108280254777,0.2643312101910828,2023-09-11
2023-W38,active_retail,0.7780558040454384,0.1560068181492978,0.3165841370201327,303,10,0.111056105610561,0.3927392739273927,2023-09-18
2023-W38,bot,0.7820798322987301,0.0509604245492539,0.7589422438776287,2797,10,0.1223989989274222,0.205219878441187,2023-09-18
2023-W38,sophisticated,0.7457251377193175,0.1231851296118694,0.8929500416843438,245,10,0.0789795918367346,0.2244897959183673,2023-09-18
2023-W39,active_retail,1.0148290253500274,0.1643343495489505,0.6847932590592801,324,9,0.1209876543209876,0.3981481481481481,2023-09-25
2023-W39,bot,1.1425262483961225,0.0540839158075546,0.7740486071634235,3482,10,0.0823090178058587,0.3141872487076393,2023-09-25
2023-W39,sophisticated,0.7472251216745677,0.149791500956882,0.6383587406702464,337,10,0.1529673590504451,0.2967359050445103,2023-09-25
2023-W40,active_retail,0.7060845042980497,0.1218055309769788,0.9000948652816717,291,10,0.077147766323024,0.3745704467353952,2023-10-02
2023-W40,bot,0.9508662744039874,0.0366276538174215,0.9823361256993924,4771,10,0.0348459442464892,0.2814923496122406,2023-10-02
2023-W40,sophisticated,0.7994620519885333,0.0750299651671472,0.9638034245408956,454,10,0.0603524229074889,0.3171806167400881,2023-10-02
2023-W41,active_retail,0.643879338292958,0.0570930336919585,0.9022292201869307,457,10,0.0898249452954047,0.4135667396061269,2023-10-09
2023-W41,bot,0.8480093170417792,0.0217943573749869,0.9356332580132942,5167,10,0.0450454809367137,0.2966905360944455,2023-10-09
2023-W41,sophisticated,0.7667092417423896,0.0600017249607832,0.9183344936084205,518,10,0.0662162162162162,0.3204633204633205,2023-10-09
2023-W42,active_retail,0.3849479788708252,0.0397867952093558,0.7352774056823408,707,10,0.1689533239038189,0.2885431400282885,2023-10-16
2023-W42,bot,0.7463340177225914,0.0228624089277745,0.948824905376762,5247,10,0.0605012388031256,0.2935010482180293,2023-10-16
2023-W42,sophisticated,0.6090966692535869,0.0768895209694841,0.725291228147303,568,10,0.0984154929577464,0.380281690140845,2023-10-16
2023-W43,active_retail,0.7745492646392818,0.1062394324208816,0.8788684513530821,525,10,0.0917142857142857,0.3904761904761905,2023-10-23
2023-W43,bot,0.7631816920995197,0.026662538601464,0.8877651088266358,4157,10,0.060801058455617,0.3069521289391388,2023-10-23
2023-W43,sophisticated,0.8500692119858998,0.0720495392313801,0.9268213849360856,580,10,0.0562068965517241,0.3051724137931034,2023-10-23
2023-W44,active_retail,0.63267296427552,0.0615114675448257,0.9300762244035654,573,10,0.0861256544502617,0.2600349040139616,2023-10-30
2023-W44,bot,1.2295603896066545,0.0674236750252088,0.9567330349420052,5118,10,0.0598671355998437,0.2196170379054318,2023-10-30
2023-W44,sophisticated,0.8082225720199594,0.0917452482591801,0.6487595878389891,560,10,0.1005357142857142,0.3517857142857143,2023-10-30
2023-W45,active_retail,0.4876490457153811,0.0847893182932973,0.8846954939574737,287,10,0.123170731707317,0.2508710801393728,2023-11-06
2023-W45,bot,0.5989440657076178,0.0187936354575469,0.9237099110898912,4271,10,0.0943221727932568,0.227113088269726,2023-11-06
2023-W45,sophisticated,0.7371779497897856,0.0930866887002504,0.869302456388522,324,10,0.0959876543209876,0.324074074074074,2023-11-06
2023-W46,active_retail,0.5981164644604424,0.0417652168404941,0.8975410213217111,588,10,0.1062925170068027,0.304421768707483,2023-11-13
2023-W46,bot,1.0277554283804942,0.024853098149908,0.9898429074180308,6550,10,0.0253893129770992,0.2693129770992366,2023-11-13
2023-W46,sophisticated,0.7668348595224839,0.0559861171614633,0.9282646955541192,591,10,0.0721658206429779,0.2910321489001692,2023-11-13
2023-W47,active_retail,0.5736872941744997,0.0586584758382769,0.9839507762206592,358,10,0.1016759776536312,0.3072625698324022,2023-11-20
2023-W47,bot,0.8457137616636893,0.0308301943278427,0.9571829266503776,3381,10,0.0389086069210293,0.3179532682638272,2023-11-20
2023-W47,sophisticated,0.8071359213282515,0.0941627510428474,0.8938029777103429,458,10,0.0709606986899563,0.334061135371179,2023-11-20
2023-W48,active_retail,0.631859253477106,0.0695990291826317,0.9076587793444316,365,10,0.1012328767123287,0.3835616438356164,2023-11-27
2023-W48,bot,0.9373214034793502,0.0374683110781889,0.9711658676334508,4912,10,0.0375,0.2852198697068404,2023-11-27
2023-W48,sophisticated,0.7155675913423307,0.0740046175806031,0.8975239345527498,348,10,0.0712643678160919,0.3189655172413793,2023-11-27
2023-W49,active_retail,0.6773114200455489,0.0745937148033738,0.8106519808991268,388,9,0.0636597938144329,0.4097938144329897,2023-12-04
2023-W49,bot,0.7462974292854386,0.0244563766996629,0.9333090636627304,4655,10,0.0666702470461869,0.3157894736842105,2023-12-04
2023-W49,sophisticated,0.7927461940168423,0.1703302109330136,0.8262678658653441,284,9,0.0669014084507042,0.454225352112676,2023-12-04
2023-W50,active_retail,0.46158875988917,0.0502088737880095,0.9128796620487004,436,10,0.1199541284403669,0.3876146788990826,2023-12-11
2023-W50,bot,0.828205329187137,0.0275088001951083,0.9478607344744354,4528,10,0.0607111307420494,0.2705388692579505,2023-12-11
2023-W50,sophisticated,1.0364375063702933,0.2207332982427601,0.7643216707274985,203,10,0.0953201970443349,0.2118226600985221,2023-12-11
2023-W51,active_retail,0.6208557729580063,0.0765445827469067,0.8943448338819153,326,10,0.0911042944785276,0.3282208588957055,2023-12-18
2023-W51,bot,0.9031675992104338,0.0388189506072519,0.9479904130834392,3580,10,0.0570670391061452,0.2779329608938548,2023-12-18
2023-W52,active_retail,0.630467334715453,0.0381303228581925,0.9531158041934352,712,10,0.0865168539325842,0.446629213483146,2023-12-25
2023-W52,bot,0.8050364789614087,0.0164554716893502,0.937791430080884,8454,10,0.0570617459190915,0.3058907026259759,2023-12-25
2023-W52,sophisticated,0.6455754177666092,0.0476117736561796,0.7774270978279162,545,9,0.1048623853211008,0.3743119266055046,2023-12-25
