wallet,n_tokens_flagged,total_round_trip_vol,avg_churn,total_round_trips
0x971f91a412236cc942a6f4485d3d88aa8dcb5929,7,30749700.33356598,0.9852150372388484,110351.0
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,644,30307928.704471003,0.9789953084972527,57993.0
0x4b7410aefbf0f38012b0dfb1131a4de147a9e8d7,656,23339086.868843,0.9880363499533198,109464.0
0x6d3c5bd13984b2de47c3a88ddc455309aab3d294,1471,21671249.017969992,0.9859044935823834,111897.0
0x739264b66172de20f95696643b84a4dd596ef6ff,11,17573401.270236,0.9872701522691778,67809.0
0x65d7ef90888c1cea25ed5720af69755b34b156d0,8,15658164.114899978,0.999109965909547,2293.0
0xa128235e5cd1182d466e93f7c82363199f10d695,8,15618824.106197981,0.9982964860234482,2288.0
0x1e8a3aec2e12020f06d0788cefd357c21aa29f8f,4,14386840.093337998,0.9791471200117209,34534.0
0x2a6db57a2345fb0bc1df712cbd214a1dfffdcbac,36,11466318.758977998,0.983649025701225,25664.0
0xeee92f1cc6d6e0ad0b4ffda20b01cf3678e27ecb,778,11306029.025456,0.9767626596521112,138510.0
0x482bf5accdecfaffa67c14d4d4fbb59f428a3266,15,9730224.438716993,0.9782850644884946,120834.0
0x7c3db723f1d4d8cb9c550095203b686cb11e5c6b,115,9620857.488336999,0.9763018588128158,11493.0
0xe9cbb1c9b3f7f411dd4fdf2ea7afa780c8b4d096,437,8029907.69259,0.976101816367074,79607.0
0x1521b47bf0c41f6b7fd3ad41cdec566812c8f23e,21,7892578.4580230005,0.9759394905314142,4149.0
0x30e443872ddf63b2908a49f92cd690c304a55102,101,7683994.6112750005,0.9748754601131457,13510.0
0x96b59f71f635da5da031e3e93448c54fe226f5e7,275,6929562.449265999,0.9792073201791014,21777.0
0x6916cc00aa1c3e75ecf4081df7cae7d2f3592fd4,201,6565571.307393,0.9749573151859988,22473.0
0xab19716584931d81cd9e7763402673a64baa4876,32,5867275.213796001,0.9795593641216256,5679.0
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,25,5725654.4898,0.9796776814977695,1060.0
0x4bbe10ba5b7f6df147c0dae17b46c44a6e562cf3,107,5497467.208043999,0.977595949290984,17360.0
