price_bin_center,realized_win_rate,n_trades,ci_lower,ci_upper,calibration_gap,prelec_alpha_fit,prelec_r2_fit
0.025,0.0067614556973547,274645,0.0064617887201015,0.0070749208408828,-0.0182385443026452,1.140582944843556,0.7107195833605457
0.075,0.0631324978218618,59684,0.0612093163753475,0.0651119141782464,-0.0118675021781382,1.140582944843556,0.7107195833605457
0.125,0.113026772125053,40079,0.1099639164042764,0.1161638040415714,-0.0119732278749469,1.140582944843556,0.7107195833605457
0.175,0.1610046182071234,31614,0.1569943483381369,0.1650972646453374,-0.0139953817928765,1.140582944843556,0.7107195833605457
0.225,0.3023603226770242,26776,0.2968877480532164,0.3078896005924901,0.0773603226770241,1.140582944843556,0.7107195833605457
0.275,0.536422822576511,39014,0.531471128002769,0.5413673449485384,0.2614228225765109,1.140582944843556,0.7107195833605457
0.325,0.4092431346282652,38818,0.4043609333971841,0.41414329747887,0.0842431346282651,1.140582944843556,0.7107195833605457
0.375,0.1232172575786302,142407,0.1215202623305416,0.1249345806131011,-0.2517827424213697,1.140582944843556,0.7107195833605457
0.425,0.1442468516332152,81312,0.1418487179724245,0.1466785989483167,-0.2807531483667848,1.140582944843556,0.7107195833605457
0.475,0.3568897476258327,134047,0.3543291781687477,0.3594585195281834,-0.1181102523741672,1.140582944843556,0.7107195833605457
0.525,0.6092777592908575,141241,0.606730232393412,0.6118193418800318,0.0842777592908574,1.140582944843556,0.7107195833605457
0.5750000000000001,0.8461372289579564,74066,0.8435207157716748,0.848717837631685,0.2711372289579563,1.140582944843556,0.7107195833605457
0.625,0.8387419160939436,138083,0.8367926787702198,0.8406723056993795,0.2137419160939435,1.140582944843556,0.7107195833605457
0.675,0.5019508693073633,32037,0.4964758032045568,0.5074254676035108,-0.1730491306926367,1.140582944843556,0.7107195833605457
0.7250000000000001,0.3527360322139929,27814,0.3471412001179665,0.3583715381528561,-0.3722639677860071,1.140582944843556,0.7107195833605457
0.775,0.6588535399720845,20777,0.6523781206517668,0.6652702271418086,-0.1161464600279155,1.140582944843556,0.7107195833605457
0.8250000000000001,0.824665033856793,20823,0.8194404299413699,0.8297698660643386,-0.000334966143207,1.140582944843556,0.7107195833605457
0.875,0.893167701863354,24955,0.8892743897761051,0.8969399832499252,0.018167701863354,1.140582944843556,0.7107195833605457
0.925,0.9483033562024848,26965,0.94559613603603,0.9508828584492208,0.0233033562024846,1.140582944843556,0.7107195833605457
0.975,0.9988263925367874,300782,0.9986974974316974,0.9989425457424624,0.0238263925367873,1.140582944843556,0.7107195833605457
