date,bot,active_retail,sophisticated,casual,one_shot,alpha_gap,alpha_gap_ma4w,alpha_gap_ma13w,alpha_gap_ma52w,alpha_gap_z52w,r2_bot,r2_active_retail,n_trades_total
2022-12-12,0.7476506243546938,,,,,,,,,,0.7723563965947385,,649
2022-12-19,0.1890079909819796,,,,,,,,,,0.5673745868226081,,354
2023-01-02,0.1000036648112377,,,,,,,,,,0.4280993221731729,,286
2023-01-09,0.7355997579429585,,,,,,,,,,0.514302724804661,,490
2023-01-16,0.5139891375065732,,,,,,,,,,0.6784385598006932,,812
2023-01-23,0.5771544154866027,,,,,,,,,,0.628093651523646,,788
2023-01-30,0.7717085471746286,,,,,,,,,,0.8822145365602683,,1164
2023-02-06,0.8626888528778411,,,,,,,,,,0.9309746052852622,,1298
2023-02-13,0.6366734986005183,,,,,,,,,,0.839256956259044,,1359
2023-02-20,0.4701855829044997,,,,,,,,,,0.7183806550735672,,1504
2023-02-27,0.2192589718527299,0.1000036648112377,,,,0.11925530704149222,0.11925530704149222,0.11925530704149222,0.11925530704149222,,0.2461215822400639,0.4998923798045472,2532
2023-03-06,0.989215515455908,0.1000036648112377,0.3672374577646495,,,0.8892118506446703,0.5042335788430813,0.5042335788430813,0.5042335788430813,,0.7257116584197749,0.3614223920372051,5819
2023-03-13,0.4833114593838619,0.6423011545643943,0.4801631102859247,,,-0.1589896951805324,0.28315915416854337,0.28315915416854337,0.28315915416854337,,0.975190275001785,0.9692303127771206,7233
2023-03-20,0.4973046200179826,0.5112535769295921,0.3028391782734684,,,-0.013948956911609467,0.20888212639850517,0.20888212639850517,0.20888212639850517,,0.9619771759343694,0.8776834293830257,5956
2023-03-27,0.8122464628193365,0.6308528909740899,0.6983177234249156,,,0.18139357184524663,0.22441669259944377,0.20338441548785346,0.20338441548785346,,0.9170944932080972,0.7913236233412918,5150
2023-04-03,0.6150456600859816,,0.6575871495957059,,,,0.00281830658436825,0.20338441548785346,0.20338441548785346,,0.9602192357368862,,2393
2023-04-10,1.0636473059216796,,1.1383721618161813,,,,0.08372230746681858,0.20338441548785346,0.20338441548785346,,0.7040285531381046,,1591
2023-04-17,1.1042666731591249,,,,,,0.18139357184524663,0.20338441548785346,0.20338441548785346,,0.8826809805821781,,1822
2023-04-24,0.7909716309472195,,,,,,,0.20338441548785346,0.20338441548785346,,0.600879183057101,,1486
2023-05-01,0.4634920115424038,,,,,,,0.20338441548785346,0.20338441548785346,,0.6201219035950338,,1522
2023-05-08,0.6211317440342901,0.4516385311606273,0.7154059281487511,,,0.16949321287366276,0.16949321287366276,0.1977358817188217,0.1977358817188217,,0.7683590342463473,0.646529884667743,3936
2023-05-15,0.6445923921135639,,0.7677431108407176,,,,0.16949321287366276,0.1977358817188217,0.1977358817188217,,0.9583015948046631,,2352
2023-05-22,0.7324236651285988,0.7023070248555541,1.0200177958535597,,,0.030116640273044726,0.09980492657335374,0.17379027579799639,0.17379027579799639,,0.8828651141702353,0.7717243408185479,3237
2023-05-29,0.83523915657416,,1.2955004324837838,,,,0.09980492657335374,0.18287943725741376,0.17379027579799639,,0.8939851334798868,,1982
2023-06-05,0.5327184804580093,0.2348365150409151,0.5321803128276992,,,0.2978819654170942,0.16399930284506947,0.08432445638615109,0.18930173700038364,,0.955735416292912,0.9269462022059836,1974
2023-06-12,1.5018300266479532,0.1000036648112377,,,,1.4018263618367155,0.5766083225089514,0.34446046588902574,0.3240266953155316,,0.4793429987968751,0.2385896002804154,1300
2023-06-19,0.6331369425730213,0.5437611957620921,0.5549405876810496,,,0.08937574681092919,0.5963613580215795,0.36168124984278216,0.3005616004650714,,0.9281682740754827,0.914330480536908,9679
2023-06-26,0.6382675120866796,0.5553825184574459,0.9728898824056076,,,0.08288499362923374,0.46799226692349316,0.3452631534734467,0.2807728180254498,,0.7225175929478935,0.6741693121759029,2598
2023-07-03,0.6813607097452051,,0.7504119020055797,,,,0.5246957007589595,0.3452631534734467,0.2807728180254498,,0.7543222022766994,,2423
2023-07-10,0.6754073716830908,0.6375802554192089,0.8068018730330005,,,0.03782711626388191,0.07002928556801495,0.301343719586366,0.2605273428786525,,0.6170076195304259,0.5898014937003278,2985
2023-07-17,0.748082738440199,0.6552745569827095,0.9113699820391576,,,0.09280818145748948,0.0711734304502017,0.27527677732025646,0.24762586892317837,-0.3636865979157443,0.9646434371509434,0.7899892218597988,3656
2023-07-24,0.5101455920384558,0.5757796923487457,0.532249949775112,,,-0.06563410031028993,0.02166706580369382,0.23739779091686242,0.22525015683507352,-0.6967774746791635,0.8955381492671648,0.8999781814184405,5758
2023-07-31,0.5764060551105337,0.4846651363248449,0.5418138369199098,,,0.09174091878568874,0.03918552904919255,0.222832103703745,0.21634954096511452,-0.3086211387708925,0.9028976671993876,0.7608705991561953,5206
2023-08-07,0.5988761798538574,0.6586290781715259,0.593685265543887,,,-0.0597528983176685,0.014790525403804947,0.1999074925846119,0.19909313850994056,-0.6534392917849938,0.8644298201266839,0.7799260829675699,5054
2023-08-14,0.55533419913762,0.8828401710425668,0.6643698983361297,,,-0.3275059719049468,-0.09028801293680412,0.15196081399465203,0.16811672025024132,-1.2260127399275784,0.954746556443725,0.7699752480406216,4595
2023-08-21,0.6608524490211842,0.7506209568681004,0.8451375924956869,,,-0.08976850784691615,-0.09632161482096067,0.14106216416556466,0.15378976313373258,-0.613700747009432,0.9108543561632632,0.8619209024812771,3486
2023-08-28,1.1215576088096175,0.6252272639882488,0.6962039156678175,,,0.49633034482136873,0.004825741687959323,0.17066784588688166,0.17181821480150292,0.8244490100571988,0.9317954753674098,0.7579403170362933,2500
2023-09-04,0.9354474664284376,1.1256188400356126,0.8450632048924378,,,-0.19017137360717506,-0.027778877134417318,0.1299967343015259,0.153718735381069,-0.8782336990027867,0.8938371792682142,0.9140835572751784,2228
2023-09-11,1.0249614344376228,0.8057348957016005,1.0753150589696807,,,0.21922653873602227,0.10890425052582495,0.031446749043134804,0.15683815458844771,0.1633533056079111,0.6925412955045589,0.5962879818327338,2929
2023-09-18,0.7820798322987301,0.7780558040454384,0.7457251377193175,,,0.004024028253291734,0.13235238455087692,0.024334105829998346,0.1498920579368497,-0.38987561416791866,0.7589422438776287,0.3165841370201327,3345
2023-09-25,1.1425262483961225,1.0148290253500274,0.7472251216745677,,,0.1276972230460951,0.04019410410705851,0.02806845828140346,0.14892706511551257,-0.05807371480885282,0.7740486071634235,0.6847932590592801,4143
2023-10-02,0.9508662744039874,0.7060845042980497,0.7994620519885333,,,0.2447817701059377,0.1489323900353367,0.04473871303713687,0.15292101115678028,0.25654649306757277,0.9823361256993924,0.9000948652816717,5516
2023-10-09,0.8480093170417792,0.643879338292958,0.7667092417423896,,,0.20412997874882122,0.14515825003853644,0.05753124092059373,0.15496936986046192,0.1401876348744154,0.9356332580132942,0.9022292201869307,6142
2023-10-16,0.7463340177225914,0.3849479788708252,0.6090966692535869,,,0.36138603885176623,0.23449875268815507,0.07819107610476886,0.1629084725139736,0.5736866060912622,0.948824905376762,0.7352774056823408,6522
2023-10-23,0.7631816920995197,0.7745492646392818,0.8500692119858998,,,-0.01136757253976206,0.19973255379169078,0.08236542439480947,0.15645380417865007,-0.49228334771238486,0.8877651088266358,0.8788684513530821,5262
2023-10-30,1.2295603896066545,0.63267296427552,0.8082225720199594,,,0.5968874253311345,0.28775896759798997,0.12122284797522839,0.17218357636266737,1.2319876130928935,0.9567330349420052,0.9300762244035654,6251
2023-11-06,0.5989440657076178,0.4876490457153811,0.7371779497897856,,,0.11129501999223673,0.26455022790884386,0.1343803801529134,0.17008397097058356,-0.17356848576497744,0.9237099110898912,0.8846954939574737,4882
2023-11-13,1.0277554283804942,0.5981164644604424,0.7668348595224839,,,0.42963896392005174,0.28161345917591524,0.19262229829329794,0.17873580406889916,0.7463507674483595,0.9898429074180308,0.8975410213217111,7729
2023-11-20,0.8457137616636893,0.5736872941744997,0.8071359213282515,,,0.27202646748918957,0.3524619691831531,0.22045268101145987,0.1817451803082634,0.2727965657926523,0.9571829266503776,0.9839507762206592,4197
2023-11-27,0.9373214034793502,0.631859253477106,0.7155675913423307,,,0.3054621500022442,0.27960565035093055,0.20577051217921954,0.18561133561120027,0.3673031568194377,0.9711658676334508,0.9076587793444316,5625
2023-12-04,0.7462974292854386,0.6773114200455489,0.7927461940168423,,,0.06898600923988973,0.2690283976628438,0.2257056954751476,0.18207723481206964,-0.35143153476186556,0.9333090636627304,0.8106519808991268,5327
2023-12-11,0.828205329187137,0.46158875988917,1.0364375063702933,,,0.366616569297967,0.25327279900732264,0.23704339013375872,0.187504862296949,0.56242237545707,0.9478607344744354,0.9128796620487004,5167
2023-12-18,0.9031675992104338,0.6208557729580063,,,,0.28231182625242746,0.25584413869813205,0.2584501438259999,0.19021363269567695,0.29316116834807626,0.9479904130834392,0.8943448338819153,3906
2023-12-25,0.8050364789614087,0.630467334715453,0.6455754177666092,,,0.1745691442459557,0.22312088725905999,0.2620556762259892,0.18977906357207358,-0.04912034498862092,0.937791430080884,0.9531158041934352,9711
2024-01-01,0.7339617079178536,0.4558782379113066,0.4652103701425424,,,0.27808347000654704,0.2753952524507243,0.264617345449113,0.19216566915138367,0.2810894210879728,0.9441938793234406,0.9317246115268556,21003
2024-01-08,1.1386517154334428,0.6696673901180988,0.7227306521613089,,,0.46898432531534395,0.3009871914550685,0.2849907567234609,0.19945037062938265,0.8842193647026583,0.9443583078344114,0.9350526989601116,14414
2024-01-15,0.9949218497840462,0.775047210025896,0.9144860115730904,,,0.21987463975815014,0.2853778948314992,0.27410526448549044,0.19997406983781255,0.0661572308189088,0.8776601934629736,0.7744265150301096,16816
2024-01-22,1.1537994898151034,0.8036795974633015,0.9445756628723646,,,0.35011989235180185,0.32926558185796073,0.3019119925540723,0.2037277154006623,0.4914580821696826,0.9393111208706276,0.7715108639986613,14272
2024-01-29,1.028003778535419,0.1410615476691631,0.5452261750943194,,,0.8869422308662559,0.48148027207288796,0.3242239006721586,0.2203914840705548,2.1303582660086455,0.8962108323322223,0.2356107666319127,16768
2024-02-05,0.942977774689876,1.0967124731290832,0.499735086080065,,,-0.15373469843920717,0.3258005161342502,0.30383699925435514,0.21148371782032238,-1.1616789296742307,0.7733683939611989,0.5910954861054554,19052
2024-02-12,0.9693056050850444,0.7970946464259149,0.7361088691833351,,,0.1722109586591295,0.313884595859495,0.28403484500351495,0.2105703978398295,-0.12346893459828383,0.9561778141809212,0.9704181940023648,15324
2024-02-19,0.9345112227884276,0.8787408460932722,1.089945782814156,,,0.05577037669515539,0.24029721694533343,0.2673997610962816,0.20705221554108694,-0.49128221767760766,0.8561478920959289,0.6604227010674593,19629
2024-02-26,1.210635695137846,0.9339182777702222,0.9253716563248962,,,0.2767174173676239,0.0877410135706754,0.2651886278166954,0.21063089986668085,0.2147035645615617,0.9285198455944838,0.6450753850037338,24702
2024-03-04,1.1201264437095553,1.0725317458073524,0.5940855508259953,,,0.04759469790220283,0.1380733626560279,0.2635431423291811,0.19150323730435204,-0.4957115889097651,0.9028906417208789,0.8978504313213547,13753
2024-03-11,0.9685773886836638,0.7116117474104747,0.9857995078529336,,,0.2569656412731891,0.1592620333095428,0.2551084555580443,0.20095676767830026,0.1962754468602169,0.9679040238095769,0.8957339362394581,15595
2024-03-18,1.793584571645337,0.9334341057124922,0.7751500751151654,,,0.8601504659328447,0.36035705561896514,0.2995575816873072,0.22082266365203784,2.1304169750864346,0.9250638083305792,0.7579014427907278,15194
2024-03-25,0.9291817931758184,0.3994370000648108,1.336337069045209,,,0.5297447931110075,0.42361389955481105,0.32687878544615734,0.22873973686262336,0.9914354579169643,0.9430736740518804,0.4952424916635656,13689
2024-04-01,1.1924371749002491,0.6442016644545632,1.014965331622945,,,0.548235510445686,0.5487741026906818,0.3476597116337834,0.23583964294224696,1.0279870560121935,0.9130851994664474,0.0926666604423833,14142
2024-04-08,1.1079975240656232,0.857801154110101,0.746107999220303,,,0.2501963699555222,0.5470817848612651,0.33082986891379706,0.23615174570340508,0.04673708632609623,0.8710292607852831,0.6918549266687668,12781
2024-04-15,1.251497388912038,0.3740263570361643,0.7919054490567378,,,0.8774710318758736,0.5514119263470223,0.3814142067690065,0.24979683689856402,2.0144092527773134,0.9355791798926444,0.5365600876589178,16880
2024-04-22,1.0722757525072095,0.8431900102111366,1.999996363370109,,,0.22908574229607293,0.4762471636432887,0.37210388753395046,0.24936535576101213,-0.06578436683002165,0.9432218214650804,0.7061198234069609,15551
2024-04-29,1.4060783729617223,0.681403814613865,0.2928307512504371,,,0.7246745583478573,0.5203569256188315,0.3596217588786891,0.25906554356890693,1.4898925588044614,0.8766483385685521,0.3762113635362413,18196
2024-05-06,1.015528945998036,0.4906257984979077,0.8002201610366085,,,0.5249031475001282,0.589033620004983,0.41182467010479173,0.26631880754087556,0.8221877788024596,0.8794114031689921,0.608917626039599,41884
