date,week,wallet_type,pnl,cumulative_pnl
2026-04-13,2026-W16,active_retail,-40625.077245,-82037360.452009
2026-04-20,2026-W17,active_retail,-82998.639716,-82120359.091725
2023-03-06,2023-W10,bot,-82438.411617,-82438.411617
2023-03-13,2023-W11,bot,44546.053477,-37892.358140000004
2023-03-20,2023-W12,bot,-135371.830324,-173264.188464
2023-03-27,2023-W13,bot,9091.589927,-164172.598537
2023-06-19,2023-W25,bot,99423.565765,-64749.032772000006
2023-07-24,2023-W30,bot,66769.593573,2020.5608009999996
2023-07-31,2023-W31,bot,53776.974221,55797.535022
2023-08-07,2023-W32,bot,37071.04721499999,92868.582237
2023-10-02,2023-W40,bot,15110.824007999998,107979.40624499999
2023-10-09,2023-W41,bot,17073.490645000005,125052.89688999999
2023-10-16,2023-W42,bot,67385.505378,192438.402268
2023-10-23,2023-W43,bot,22279.459548,214717.861816
2023-10-30,2023-W44,bot,28320.255126,243038.116942
2023-11-13,2023-W46,bot,-10458.686775000002,232579.43016699998
2023-11-27,2023-W48,bot,19378.652653,251958.08281999998
2023-12-04,2023-W49,bot,9202.007150000003,261160.08997
2023-12-11,2023-W50,bot,-29663.675373,231496.414597
2023-12-25,2023-W52,bot,187090.094284,418586.508881
2024-01-01,2024-W01,bot,84829.433864,503415.942745
2024-01-08,2024-W02,bot,235935.826192,739351.7689370001
2024-01-15,2024-W03,bot,72382.46511599996,811734.234053
2024-01-22,2024-W04,bot,328810.789023,1140545.023076
2024-01-29,2024-W05,bot,-178915.180567,961629.842509
2024-02-05,2024-W06,bot,37982.57457399998,999612.417083
2024-02-12,2024-W07,bot,41297.840414,1040910.2574969999
2024-02-19,2024-W08,bot,275386.98614,1316297.243637
2024-02-26,2024-W09,bot,304572.887234,1620870.130871
2024-03-04,2024-W10,bot,-28791.43767100001,1592078.6932
2024-03-11,2024-W11,bot,190232.11852,1782310.8117199999
2024-03-18,2024-W12,bot,-64286.44258200002,1718024.369138
2024-03-25,2024-W13,bot,-227576.044998,1490448.32414
2024-04-01,2024-W14,bot,40860.99599299999,1531309.320133
2024-04-08,2024-W15,bot,450456.009118,1981765.329251
2024-04-15,2024-W16,bot,-176578.111008,1805187.2182429999
2024-04-22,2024-W17,bot,-271423.670367,1533763.547876
2024-04-29,2024-W18,bot,-340778.727569,1192984.820307
2024-05-06,2024-W19,bot,86264.43605300003,1279249.25636
2024-05-13,2024-W20,bot,940646.228042,2219895.484402
2024-05-20,2024-W21,bot,-713498.421753,1506397.062649
2024-05-27,2024-W22,bot,-284024.834874,1222372.227775
2024-06-03,2024-W23,bot,689915.878612,1912288.106387
2024-06-10,2024-W24,bot,-125004.196871,1787283.9095160002
2024-06-17,2024-W25,bot,95317.476781,1882601.386297
2024-06-24,2024-W26,bot,609883.0341340001,2492484.420431
2024-07-01,2024-W27,bot,852571.686526,3345056.106957
2024-07-08,2024-W28,bot,2970096.199755,6315152.306712
2024-07-15,2024-W29,bot,1950883.05819,8266035.364902
2024-07-22,2024-W30,bot,492863.774151,8758899.139053
2024-07-29,2024-W31,bot,1102228.587052,9861127.726105
2024-08-05,2024-W32,bot,-39841.310538000034,9821286.415567
2024-08-12,2024-W33,bot,562993.286588,10384279.702155
2024-08-19,2024-W34,bot,490639.3267909999,10874919.028946
2024-08-26,2024-W35,bot,-1260988.1655479998,9613930.863398
2024-09-02,2024-W36,bot,2015185.222076,11629116.085474
2024-09-09,2024-W37,bot,220191.26658,11849307.352054
2024-09-16,2024-W38,bot,927704.720231,12777012.072285
2024-09-23,2024-W39,bot,830224.5947490002,13607236.667034
2024-09-30,2024-W40,bot,8526892.426699,22134129.093732998
2024-10-07,2024-W41,bot,6803528.658845,28937657.752577998
2024-10-14,2024-W42,bot,8486920.753766,37424578.506344
2024-10-21,2024-W43,bot,15089110.271675,52513688.778018996
2024-10-28,2024-W44,bot,1714392.1445609997,54228080.92258
2024-11-04,2024-W45,bot,2148407.926333,56376488.848913
2024-11-11,2024-W46,bot,875143.5103770001,57251632.35929
2024-11-18,2024-W47,bot,474612.240863,57726244.600153
2024-11-25,2024-W48,bot,838561.581577,58564806.18173
2024-12-02,2024-W49,bot,1184856.634916,59749662.816646
2024-12-09,2024-W50,bot,634422.2802019999,60384085.096847996
2024-12-16,2024-W51,bot,532366.995821,60916452.092669
2024-12-23,2024-W52,bot,1297614.47174,62214066.564409
2024-12-30,2025-W01,bot,1214001.762937,63428068.327346
2025-01-06,2025-W02,bot,2345134.8015630003,65773203.128909
2025-01-13,2025-W03,bot,682704.189606,66455907.318515
2025-01-20,2025-W04,bot,1643053.201618,68098960.520133
2025-01-27,2025-W05,bot,1709600.156249,69808560.676382
2025-02-03,2025-W06,bot,1325542.155597,71134102.831979
2025-02-10,2025-W07,bot,-1116455.967467,70017646.864512
2025-02-17,2025-W08,bot,491210.023736,70508856.888248
2025-02-24,2025-W09,bot,108138.22729,70616995.115538
2025-03-03,2025-W10,bot,411716.856282,71028711.97182
2025-03-10,2025-W11,bot,1203385.937816,72232097.909636
2025-03-17,2025-W12,bot,2774875.316438,75006973.226074
2025-03-24,2025-W13,bot,1726432.435626,76733405.6617
2025-03-31,2025-W14,bot,1525073.995464,78258479.65716399
2025-04-07,2025-W15,bot,1723345.75687,79981825.414034
2025-04-14,2025-W16,bot,1270108.241929,81251933.655963
2025-04-21,2025-W17,bot,-655702.834885,80596230.821078
2025-04-28,2025-W18,bot,-4217872.740081,76378358.080997
2025-05-05,2025-W19,bot,-1038458.516506,75339899.564491
2025-05-12,2025-W20,bot,280349.642217,75620249.206708
2025-05-19,2025-W21,bot,54284.72840999994,75674533.935118
2025-05-26,2025-W22,bot,130972.55038,75805506.485498
2025-06-02,2025-W23,bot,902902.439371,76708408.924869
2025-06-09,2025-W24,bot,3033759.801849,79742168.726718
2025-06-16,2025-W25,bot,1361258.247472,81103426.97419
2025-06-23,2025-W26,bot,975538.353752,82078965.327942
2025-06-30,2025-W27,bot,1261989.780215,83340955.108157
2025-07-07,2025-W28,bot,155901.927695,83496857.035852
2025-07-14,2025-W29,bot,335764.2288679999,83832621.26472
2025-07-21,2025-W30,bot,585906.822012,84418528.086732
2025-07-28,2025-W31,bot,884479.996657,85303008.083389
2025-08-04,2025-W32,bot,1090565.471483,86393573.554872
2025-08-11,2025-W33,bot,869455.8638439999,87263029.418716
2025-08-18,2025-W34,bot,741216.3339760001,88004245.752692
2025-08-25,2025-W35,bot,1189690.312461,89193936.065153
2025-09-01,2025-W36,bot,871203.6012230001,90065139.666376
2025-09-08,2025-W37,bot,1502120.1232629998,91567259.789639
2025-09-15,2025-W38,bot,693848.300904,92261108.090543
2025-09-22,2025-W39,bot,756436.5679980001,93017544.658541
2025-09-29,2025-W40,bot,1793485.055638,94811029.714179
2025-10-06,2025-W41,bot,1752188.807331,96563218.52151
2025-10-13,2025-W42,bot,2020058.357446,98583276.878956
2025-10-20,2025-W43,bot,2198751.081978,100782027.960934
2025-10-27,2025-W44,bot,2996350.352026,103778378.31296
2025-11-03,2025-W45,bot,1389868.8702909998,105168247.183251
2025-11-10,2025-W46,bot,2027180.284681,107195427.467932
2025-11-17,2025-W47,bot,2477030.897268,109672458.3652
2025-11-24,2025-W48,bot,1633583.8341650004,111306042.199365
2025-12-01,2025-W49,bot,2705521.078153,114011563.277518
2025-12-08,2025-W50,bot,2174180.09959,116185743.37710801
2025-12-15,2025-W51,bot,3038052.4524000003,119223795.829508
2025-12-22,2025-W52,bot,2154574.582742,121378370.41225
2025-12-29,2026-W01,bot,1511104.4061979996,122889474.818448
2026-01-05,2026-W02,bot,2552898.77717,125442373.595618
2026-01-12,2026-W03,bot,3517169.5539770005,128959543.149595
2026-01-19,2026-W04,bot,2210372.0534050004,131169915.20300001
2026-01-26,2026-W05,bot,1798111.681342,132968026.884342
2026-02-02,2026-W06,bot,782784.4021749999,133750811.286517
2026-02-09,2026-W07,bot,596085.238785,134346896.525302
2026-02-16,2026-W08,bot,121392.62489000002,134468289.150192
2026-02-23,2026-W09,bot,-72586.05906,134395703.09113201
2026-03-02,2026-W10,bot,540319.185376,134936022.276508
2026-03-09,2026-W11,bot,304203.26661500003,135240225.543123
2026-03-16,2026-W12,bot,160108.968803,135400334.511926
2026-03-23,2026-W13,bot,274497.440094,135674831.95202
2026-03-30,2026-W14,bot,27934.413439000014,135702766.365459
2026-04-06,2026-W15,bot,-20694.40050500002,135682071.964954
2026-04-13,2026-W16,bot,155060.430855,135837132.395809
2026-04-20,2026-W17,bot,79716.99880700001,135916849.394616
2023-03-06,2023-W10,casual,-36726.782214,-36726.782214
2023-03-13,2023-W11,casual,-94495.888065,-131222.670279
2023-03-20,2023-W12,casual,-8119.401572999998,-139342.07185200002
2023-03-27,2023-W13,casual,26594.78049,-112747.29136200002
2023-06-19,2023-W25,casual,-36703.720367,-149451.01172900002
2023-07-24,2023-W30,casual,-11716.599242,-161167.61097100002
2023-07-31,2023-W31,casual,-13700.83375,-174868.444721
2023-08-07,2023-W32,casual,-1627.4161580000005,-176495.860879
2023-10-02,2023-W40,casual,-321.4527359999999,-176817.31361500002
2023-10-09,2023-W41,casual,-3291.141128000001,-180108.454743
2023-10-16,2023-W42,casual,-2534.654618,-182643.109361
2023-10-23,2023-W43,casual,-2697.868527,-185340.97788800002
2023-10-30,2023-W44,casual,-6450.235638000001,-191791.213526
2023-11-13,2023-W46,casual,-1181.7222259999996,-192972.93575200002
2023-11-27,2023-W48,casual,-837.7484329999995,-193810.68418500002
2023-12-04,2023-W49,casual,-3598.907146,-197409.591331
2023-12-11,2023-W50,casual,-3532.411892,-200942.003223
2023-12-25,2023-W52,casual,-52179.677789,-253121.68101200002
2024-01-01,2024-W01,casual,-199896.092737,-453017.77374900004
2024-01-08,2024-W02,casual,-2974.9315190000007,-455992.705268
2024-01-15,2024-W03,casual,3045.169383999999,-452947.535884
2024-01-22,2024-W04,casual,-9783.362026,-462730.89791
2024-01-29,2024-W05,casual,-14521.927235,-477252.825145
2024-02-05,2024-W06,casual,2603.3357060000008,-474649.489439
2024-02-12,2024-W07,casual,-11437.95272,-486087.442159
2024-02-19,2024-W08,casual,-3751.7781489999993,-489839.220308
2024-02-26,2024-W09,casual,-22464.566219,-512303.786527
2024-03-04,2024-W10,casual,-8149.640812000001,-520453.427339
2024-03-11,2024-W11,casual,-265.3947249999999,-520718.822064
2024-03-18,2024-W12,casual,9516.454687,-511202.367377
2024-03-25,2024-W13,casual,13535.763868,-497666.60350900004
2024-04-01,2024-W14,casual,-9411.112176,-507077.715685
2024-04-08,2024-W15,casual,50853.194527,-456224.521158
2024-04-15,2024-W16,casual,10422.793523,-445801.727635
2024-04-22,2024-W17,casual,5820.951443,-439980.776192
2024-04-29,2024-W18,casual,-5436.883443999999,-445417.659636
2024-05-06,2024-W19,casual,15536.700449999998,-429880.959186
2024-05-13,2024-W20,casual,-15366.543502000002,-445247.50268800004
2024-05-20,2024-W21,casual,56170.606427,-389076.896261
2024-05-27,2024-W22,casual,-64706.516263,-453783.41252400004
2024-06-03,2024-W23,casual,-42148.095564,-495931.508088
2024-06-10,2024-W24,casual,-55364.135423,-551295.643511
2024-06-17,2024-W25,casual,-34680.823108,-585976.4666190001
2024-06-24,2024-W26,casual,-3391.292526999999,-589367.759146
2024-07-01,2024-W27,casual,-18188.962496,-607556.721642
2024-07-08,2024-W28,casual,-153746.511348,-761303.23299
2024-07-15,2024-W29,casual,-83002.89279200001,-844306.125782
