date,week,wallet_type,n_trades,usd_volume,accuracy,pnl,directional,execution,pnl_roi,directional_roi,execution_roi
2023-02-27,2023-W09,active_retail,1980,137684.72882599995,0.691825662623603,84317.578926,43209.14963222413,41108.42929377587,0.6123960125785405,0.3138267402685595,0.29856927230998104
2023-02-27,2023-W09,bot,7276,743328.6984979996,0.4802390364524155,-55557.04472000004,-34190.27602464723,-21366.768695352563,-0.07474088493053058,-0.04599617382422272,-0.02874471110630752
2023-02-27,2023-W09,casual,320,13885.254418,0.28355387223132444,-5642.37127,-3762.0101942192323,-1880.3610757807683,-0.40635706773118774,-0.27093563293607287,-0.1354214347951149
2023-02-27,2023-W09,one_shot,44,782.3188819999999,0.5181468124374459,200.29508399999997,201.22360174602878,-0.9285177460287102,0.25602741875275353,0.2572142976168493,-0.0011868788640956136
2023-02-27,2023-W09,sophisticated,952,130590.27228399998,0.4822811783766864,-23318.45801999998,-5458.087015103535,-17860.371004896482,-0.17856198330981637,-0.041795509877133964,-0.1367664734326827
2023-03-06,2023-W10,active_retail,5336,996826.3790199996,0.6239171219660032,411393.12489200034,196046.4393186398,215346.68557335998,0.4127028874340678,0.19667059725222868,0.2160322901818386
2023-03-06,2023-W10,bot,14352,1807493.4326219994,0.49595481661332874,-164874.8306340001,-56789.67223144147,-108085.15840255845,-0.09121738848855908,-0.03141901995685861,-0.05979836853170037
2023-03-06,2023-W10,casual,1100,188603.31808200007,0.361291470150264,-73462.95428799998,-32866.46714044895,-40596.48714755105,-0.3895104022298277,-0.1742624015032409,-0.2152480007265869
2023-03-06,2023-W10,one_shot,160,18544.759154,0.003012792763952595,-27975.12837,-14311.828512590904,-13663.299857409098,-1.508519368609105,-0.7717451811448263,-0.7367741874642789
2023-03-06,2023-W10,sophisticated,2628,480728.45665,0.30870339657582746,-145080.21160000004,-92078.47143415868,-53001.74016584133,-0.3017924351951301,-0.19153946507726188,-0.11025297011786815
2023-03-13,2023-W11,active_retail,9212,5741087.305503993,0.4687414154281374,325874.4910980006,-65126.059852281905,391000.5509502819,0.056761807260026165,-0.011343854637055494,0.06810566189708155
2023-03-13,2023-W11,bot,14394,2927192.3938519987,0.5804925226323027,89092.10695399976,147082.11492171156,-57990.007967711645,0.03043602707533693,0.05024682191393674,-0.01981079483859976
2023-03-13,2023-W11,casual,2094,1184211.9849500002,0.4251678316879663,-188991.77612999993,-97729.74099163672,-91262.0351383631,-0.15959285882246796,-0.08252723518565222,-0.07706562363681564
2023-03-13,2023-W11,one_shot,188,55224.903523999994,0.13036530206974886,-34644.370335999985,-25153.6164693249,-9490.753866675092,-0.627332383132983,-0.45547596943095575,-0.17185641370202737
2023-03-13,2023-W11,sophisticated,3716,1419314.355282,0.5114428689587429,-191330.45158599992,40927.302391532634,-232257.75397753244,-0.1348048449407707,0.028835967338187662,-0.16364081227895827
2023-03-20,2023-W12,active_retail,5716,1806004.7649740002,0.32175874678788546,-77424.90305000017,-315814.29794776905,238389.3948977689,-0.04287081881044472,-0.17486902807386315,0.13199820926341843
2023-03-20,2023-W12,bot,14614,3056264.810925996,0.5223241475604902,-270743.66064799955,44226.74101227764,-314970.40166027856,-0.08858645352984608,0.014470847177302577,-0.10305730070714911
2023-03-20,2023-W12,casual,612,244498.003756,0.2013957859123131,-16238.803145999991,-48705.1054007739,32466.302254773895,-0.06641691505263053,-0.19920451149932417,0.13278759644669358
2023-03-20,2023-W12,one_shot,30,2960.1246939999996,0.9369563192020669,2509.2773399999996,1746.2080567963812,763.0692832036183,0.8476931208628334,0.5899103035543886,0.2577828173084449
2023-03-20,2023-W12,sophisticated,2960,1141521.8406380003,0.7341841139497964,361898.089504,318546.45427946845,43351.635224531594,0.3170312442745151,0.27905419146551924,0.03797705280899595
2023-03-27,2023-W13,active_retail,3926,486240.31291000004,0.4077414507702748,-50901.051389999986,-69523.23877007997,18622.187380079937,-0.10468291097743976,-0.1429812315519554,0.03829832057451556
2023-03-27,2023-W13,bot,14248,1927335.8142980004,0.5186289990191888,18183.159855999875,45642.5603116287,-27459.40045562875,0.009434349593416746,0.02368168534669877,-0.014247335753281985
2023-03-27,2023-W13,casual,272,104125.92597999996,0.7699239659268361,53189.560979999995,41173.70852989921,12015.852450100774,0.5108195723533485,0.395422255719557,0.11539731663379134
2023-03-27,2023-W13,one_shot,14,444.398296,2.7890602398213484e-05,-233.83979399999998,-131.13551552907637,-102.7042784709236,-0.5261941733457951,-0.2950855498534053,-0.23110862349238978
2023-03-27,2023-W13,sophisticated,2212,426619.8125960001,0.44436608975599,-20237.829651999964,-17161.894555919003,-3075.9350960810143,-0.04743762257278182,-0.04022760792914921,-0.007210014643632736
2023-04-03,2023-W14,active_retail,1404,88957.33719599995,0.31709975905874116,-7633.019589999985,-8235.301141617954,602.2815516179502,-0.08580539650351866,-0.09257585041549853,0.006770453911979645
2023-04-03,2023-W14,bot,7270,958203.0408780003,0.5403803338091159,654.1384059999364,10287.034864366624,-9632.896458366456,0.000682672020536013,0.010735756854769138,-0.010053084834232883
2023-04-03,2023-W14,casual,220,15412.695888000002,0.35125352513868235,-6782.257956000002,-6798.78527679494,16.527320794936657,-0.440043585190085,-0.44111590381072335,0.0010723186206382284
2023-04-03,2023-W14,one_shot,24,7941.640102000001,0.13114373392772835,-3313.558716,-1110.6713135697798,-2202.8874024302195,-0.41723858969201116,-0.13985414842584865,-0.2773844412661624
2023-04-03,2023-W14,sophisticated,1442,197903.55749999997,0.49428063219685386,17074.697856000003,5857.722867616192,11216.974988383798,0.08627787227119454,0.02959887604656219,0.056678996224632294
