date,efficiency,efficiency_ma4w,efficiency_ma13w,efficiency_ma52w,efficiency_z52w,r2_bot,r2_active_retail,r2_sophisticated,r2_casual,r2_one_shot
2023-01-16,,,,,,0.592418808796574,,,,
2023-01-23,,,,,,0.6648321742686019,,,,
2023-01-30,,,,,,0.8351581359489243,,,,
2023-02-06,,,,,,0.5591268760307794,,,,
2023-02-13,,,,,,0.7759956458027197,,,,
2023-02-20,,,,,,0.6110245343098358,,,,
2023-02-27,0.4907370035314464,0.4907370035314464,0.4907370035314464,0.4907370035314464,,0.2335874024161334,0.4907370035314464,,,
2023-03-06,0.0511929685771666,0.2709649860543065,0.2709649860543065,0.2709649860543065,,0.6656841181414892,0.0511929685771666,0.3822229465183406,,
2023-03-13,0.9477380901839454,0.49655602076418615,0.49655602076418615,0.49655602076418615,,0.9738327772677068,0.9477380901839454,0.8376416625924449,,
2023-03-20,0.7726540777549973,0.565580535011889,0.565580535011889,0.565580535011889,,0.9570580032680158,0.7726540777549973,0.8683203612003614,,
2023-03-27,0.7924947400896286,0.6410199691514344,0.6109633760274369,0.6109633760274369,,0.905041115382008,0.7924947400896286,0.8598062198177134,,
2023-04-03,0.7440117369580309,0.8142246612466506,0.6331381028492026,0.6331381028492026,,0.9861548943144276,0.7440117369580309,0.7571666905544087,,
2023-04-10,,0.7697201849342189,0.6331381028492026,0.6331381028492026,,0.8397352836510135,,,,
2023-04-17,,0.7682532385238298,0.6331381028492026,0.6331381028492026,,0.7478051069202678,,,,
2023-04-24,,0.7440117369580309,0.6331381028492026,0.6331381028492026,,0.7245913262909848,,,,
2023-05-01,,,0.6331381028492026,0.6331381028492026,,0.611182645419109,,,,
2023-05-08,0.5613834188632328,0.5613834188632328,0.6228874337083498,0.6228874337083498,,0.6522779598766518,0.5613834188632328,0.7511320881801632,,
2023-05-15,0.7485870427787562,0.6549852308209945,0.6385998848421506,0.6385998848421506,,0.9069964850057428,0.7485870427787562,0.8579336586223305,,
2023-05-22,0.8285460736091911,0.7128388450837267,0.6597050169273773,0.6597050169273773,,0.9099884275159232,0.8285460736091911,0.8634600152062817,,
2023-05-29,,0.7128388450837267,0.6808260186018686,0.6597050169273773,,0.7689462389652287,,,,
2023-06-05,,0.7885665581939738,0.7707735971768261,0.6597050169273773,,0.8447935281548881,,,,
2023-06-12,0.5751929655516241,0.7018695195804077,0.7175528650864944,0.6512538117898019,,0.8841703915855537,0.5751929655516241,,,
2023-06-19,0.7922380295094638,0.683715497530544,0.7203505724799896,0.6640705588552257,,0.8735476540601845,0.7922380295094638,0.8197051104497212,,
2023-06-26,0.707600319564214,0.6916771048751006,0.7082227981192162,0.667698038914308,,0.6449525230607256,0.707600319564214,0.7596934045064062,,
2023-07-03,0.3933742430066841,0.6171013894079965,0.658131727554738,0.6465962084598755,-1.0788660882083352,0.8689345887797051,0.3933742430066841,0.9026422867208712,,
2023-07-10,,0.6310708640267874,0.658131727554738,0.6465962084598755,,0.5730927970624498,,0.51224667833914,,
2023-07-17,0.6925299831457276,0.5978348485722086,0.6624315095036117,0.6498771923660077,0.18886525534343268,0.8611647464637716,0.6925299831457276,0.4865768346422927,,
2023-07-24,0.8547534688565906,0.646885898336334,0.6838006160983872,0.6635356107987133,0.8538070873200566,0.9420456338889328,0.8547534688565906,0.9200145764595028,,
2023-07-31,0.7359960319754892,0.7610931613259359,0.6890201576860974,0.6680643871222618,0.3128730769579352,0.8266866750845175,0.7359960319754892,0.8112971082578717,,
2023-08-07,0.8858934592514839,0.7922932358073228,0.7214711617249224,0.6808778619533925,0.9457996676654413,0.9375292858969304,0.8858934592514839,0.5781029204447075,,
2023-08-14,0.5229063189417049,0.7498873197563172,0.6989030893412174,0.6721016651194098,-0.6986005876981325,0.9020537336217704,0.5229063189417049,0.6868345460487488,,
2023-08-21,0.7795967600712495,0.7310981425599818,0.6940081579874231,0.6777593016958224,0.48724637748201416,0.9712237648838752,0.7795967600712495,0.8930214843220168,,
2023-08-28,0.8567682140392275,0.7612911880759164,0.7088045267194054,0.6867097473129927,0.8202223733405887,0.8602491005212269,0.8567682140392275,0.7331986531831716,,
2023-09-04,0.601796861129035,0.6902670385453042,0.6998872212535412,0.6826662765423281,-0.3985086959140984,0.837087076184722,0.601796861129035,0.6622936127195327,,
2023-09-11,,0.7460539450798374,0.7112230626809882,0.6826662765423281,,0.8440379958345576,,0.3595550022087,,
2023-09-18,0.4518581250576587,0.6368077334086404,0.6802794350035514,0.6721749969293885,-1.0796588419959103,0.6512440899789137,0.4518581250576587,0.7351949559801729,,
2023-09-25,0.1076653271806695,0.38710677112245434,0.625739890241411,0.6476310982446616,-2.3322183270727073,0.6923143276579028,0.1076653271806695,0.7765305806122109,,
2023-10-02,0.7697425382311639,0.4430886634898307,0.6599551898072727,0.652719074910766,0.5137041020964271,0.9293747054313476,0.7697425382311639,0.8678295180251869,,
2023-10-09,0.9122295078273208,0.5603738745742033,0.6809780496422767,0.6630994922274281,1.0880608316821268,0.982725337440158,0.9122295078273208,0.902897723650715,,
2023-10-16,0.9156880017558584,0.6763313437487531,0.699574551193121,0.6728144349015985,1.0571444223704394,0.9222852768297868,0.9156880017558584,0.8696747129021583,,
2023-10-23,0.739694258449444,0.8343385765659468,0.689986283659192,0.6752914654033705,0.2854090897816313,0.7597094636545506,0.739694258449444,0.642436056270792,,
2023-10-30,0.7394573298594798,0.8267672744730258,0.6902747251495246,0.6775831034196601,0.2790087691227445,0.9338197594581048,0.7394573298594798,0.7793389282454373,,
2023-11-06,0.949517295341942,0.8360892213516811,0.6955767114903962,0.6869601445204284,1.1745084343948795,0.9378784853497546,0.949517295341942,0.7834693734844517,,
2023-11-13,0.8333640521433396,0.8155082339485513,0.721448189257199,0.6918402747745256,0.6395725259996348,0.9564067569179734,0.8333640521433396,0.8785048411966031,,
2023-11-20,0.9256481845449184,0.86199671547242,0.7336191412966714,0.6993824654122802,1.0211692242015586,0.9865727307127874,0.9256481845449184,0.9034398951544752,,
