date,week,n_trades,longshot_fraction,longshot_winrate,longshot_gap,longshot_gap_ma4w,longshot_gap_ma13w,longshot_gap_ma52w,longshot_gap_z52w
2022-12-12,2022-W50,261,0.1647509578544061,0.0697674418604651,0.0197674418604651,0.0197674418604651,0.0197674418604651,0.0197674418604651,
2022-12-19,2022-W51,171,0.327485380116959,0.0357142857142857,-0.014285714285714304,0.002740863787375397,0.002740863787375397,0.002740863787375397,
2023-01-02,2023-W01,217,0.0599078341013824,0.1538461538461538,0.1038461538461538,0.03644262714030153,0.03644262714030153,0.03644262714030153,
2023-01-09,2023-W02,205,0.2439024390243902,0.0,-0.05,0.014831970355226147,0.014831970355226147,0.014831970355226147,
2023-01-16,2023-W03,180,0.3166666666666666,0.0175438596491228,-0.032456140350877204,0.0017760748023905714,0.005374348214005477,0.005374348214005477,
2023-01-23,2023-W04,206,0.1359223300970873,0.1071428571428571,0.05714285714285709,0.019633217659533422,0.014002433035480747,0.014002433035480747,
2023-01-30,2023-W05,209,0.2248803827751196,0.0851063829787234,0.0351063829787234,0.0024482749426758214,0.017017283027372553,0.017017283027372553,
2023-02-06,2023-W06,143,0.2657342657342657,0.131578947368421,0.08157894736842099,0.03534301178478107,0.025087491070003607,0.025087491070003607,
2023-02-13,2023-W07,254,0.2559055118110236,0.0461538461538461,-0.003846153846153902,0.0424955084109619,0.021872641634874995,0.021872641634874995,
2023-02-20,2023-W08,336,0.3422619047619047,0.0521739130434782,0.0021739130434781997,0.02875327238611717,0.019902768775735317,0.019902768775735317,
2023-02-27,2023-W09,345,0.2115942028985507,0.2054794520547945,0.15547945205479452,0.05884653965513495,0.032227921801104335,0.032227921801104335,
2023-03-06,2023-W10,1376,0.098110465116279,0.1259259259259259,0.07592592592592591,0.05743328429451118,0.035869422144839465,0.035869422144839465,
2023-03-13,2023-W11,2601,0.2541330257593233,0.0030257186081694,-0.0469742813918306,0.04665125240809201,0.029496829565095615,0.029496829565095615,-1.2227028825663582
2023-03-20,2023-W12,1204,0.3230897009966777,0.0077120822622107,-0.0422879177377893,0.03553579471277513,0.02472334036522989,0.02436934761488955,-1.0567519747514518
2023-03-27,2023-W13,971,0.3388259526261586,0.0820668693009118,0.03206686930091179,0.00468264902430445,0.028288923718047285,0.024882515727291034,0.11813363617403425
2023-04-03,2023-W14,523,0.4034416826003824,0.1279620853080568,0.0779620853080568,0.005191688869837173,0.02629784152280905,0.028199988826088894,0.8261566061715828
2023-04-10,2023-W15,305,0.4983606557377049,0.25,0.2,0.06693525921779483,0.04552861075357829,0.03830587183631896,2.255896024528381
2023-04-17,2023-W16,254,0.2598425196850393,0.1363636363636363,0.0863636363636363,0.09909814774315122,0.05466859357777164,0.040975747643392145,0.6442318876085721
